alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[2, 716, 1, 2, 5],,noPlanSynthesised,,13061
1,,[r2, r3, r4, r5, r1],,[1, 220, 1, 1, 1],,noPlanSynthesised,,13195
1,,[r2, r3, r4, r5, r1],,[2, 58, 2, 1, 14],,noPlanSynthesised,,13270
1,,[r2, r3, r4, r5, r1],,[2, 407, 2, 2, 8],,noPlanSynthesised,,13349
1,,[r2, r3, r4, r5, r1],,[2, 494, 1, 1, 6],,noPlanSynthesised,,13435
1,,[r2, r3, r4, r5, r1],,[2, 240, 1, 1, 16],,noPlanSynthesised,,13560
1,,[r2, r3, r4, r5, r1],,[1, 491, 1, 2, 18],,noPlanSynthesised,,13655
1,,[r2, r3, r4, r5, r1],,[2, 267, 2, 1, 9],,noPlanSynthesised,,13798
1,,[r2, r3, r4, r5, r1],,[2, 299, 1, 2, 13],,noPlanSynthesised,,13910
1,,[r2, r3, r4, r5, r1],,[2, 289, 1, 2, 15],,noPlanSynthesised,,13979
1,,[r2, r3, r4, r5, r1],,[1, 14, 1, 1, 13],,noPlanSynthesised,,14048
1,,[r2, r3, r4, r5, r1],,[1, 408, 2, 2, 7],,noPlanSynthesised,,14163
1,,[r2, r3, r4, r5, r1],,[1, 693, 2, 1, 2],,noPlanSynthesised,,14261
1,,[r2, r3, r4, r5, r1],,[1, 582, 2, 1, 24],,noPlanSynthesised,,14311
1,,[r2, r3, r4, r5, r1],,[2, 314, 1, 1, 3],,noPlanSynthesised,,14347
1,,[r2, r3, r4, r5, r1],,[1, 428, 1, 1, 10],,noPlanSynthesised,,14394
1,,[r2, r3, r4, r5, r1],,[2, 635, 2, 1, 18],,noPlanSynthesised,,14424
1,,[r2, r3, r4, r5, r1],,[1, 366, 2, 1, 19],,noPlanSynthesised,,14473
1,,[r2, r3, r4, r5, r1],,[2, 232, 1, 1, 13],,noPlanSynthesised,,14558
1,,[r2, r3, r4, r5, r1],,[2, 620, 2, 2, 6],,noPlanSynthesised,,14605
1,,[r2, r3, r4, r5, r1],,[1, 246, 2, 1, 20],,noPlanSynthesised,,14660
1,,[r2, r3, r4, r5, r1],,[2, 139, 2, 2, 9],,noPlanSynthesised,,14762
1,,[r2, r3, r4, r5, r1],,[1, 144, 2, 1, 9],,noPlanSynthesised,,14917
1,,[r2, r3, r4, r5, r1],,[1, 385, 1, 2, 20],,noPlanSynthesised,,14991
