alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[251671, 408513158, 2, 2, 3],,noPlanSynthesised,,82378
1,,[r2, r3, r4, r5, r1],,[125207, 477903520, 2, 2, 3],,noPlanSynthesised,,83837
1,,[r2, r3, r4, r5, r1],,[16680, 1033560649, 1, 2, 6],,noPlanSynthesised,,86898
1,,[r2, r3, r4, r5, r1],,[327939, 23535885, 2, 1, 6],,noPlanSynthesised,,88382
1,,[r2, r3, r4, r5, r1],,[220656, 1169893978, 1, 1, 6],,noPlanSynthesised,,90477
1,,[r2, r3, r4, r5, r1],,[100762, 180045251, 2, 1, 5],,noPlanSynthesised,,91980
1,,[r2, r3, r4, r5, r1],,[323041, 215573606, 1, 1, 2],,noPlanSynthesised,,93494
1,,[r2, r3, r4, r5, r1],,[200331, 1225713262, 2, 1, 1],,noPlanSynthesised,,95534
1,,[r2, r3, r4, r5, r1],,[297711, 1843237277, 2, 2, 2],,noPlanSynthesised,,98493
1,,[r2, r3, r4, r5, r1],,[338068, 432812631, 2, 2, 6],,noPlanSynthesised,,99906
1,,[r2, r3, r4, r5, r1],,[143501, 1778669668, 1, 1, 2],,noPlanSynthesised,,101834
1,,[r2, r3, r4, r5, r1],,[137493, 1398089137, 1, 1, 5],,noPlanSynthesised,,104126
1,,[r2, r3, r4, r5, r1],,[355538, 113597069, 1, 2, 2],,noPlanSynthesised,,106010
1,,[r2, r3, r4, r5, r1],,[285688, 1333137159, 1, 1, 5],,noPlanSynthesised,,107994
1,,[r2, r3, r4, r5, r1],,[30205, 1502804921, 2, 1, 3],,noPlanSynthesised,,109628
1,,[r2, r3, r4, r5, r1],,[106376, 1127538973, 2, 2, 6],,noPlanSynthesised,,111034
1,,[r2, r3, r4, r5, r1],,[263354, 254591338, 1, 1, 1],,noPlanSynthesised,,113250
1,,[r2, r3, r4, r5, r1],,[209183, 1218806397, 1, 1, 6],,noPlanSynthesised,,115094
1,,[r2, r3, r4, r5, r1],,[8984, 1266090574, 1, 2, 2],,noPlanSynthesised,,118153
1,,[r2, r3, r4, r5, r1],,[193911, 364601057, 1, 1, 5],,noPlanSynthesised,,120151
1,,[r2, r3, r4, r5, r1],,[141602, 945236224, 2, 1, 2],,noPlanSynthesised,,124169
1,,[r2, r3, r4, r5, r1],,[118807, 1982233318, 1, 2, 3],,noPlanSynthesised,,125964
1,,[r2, r3, r4, r5, r1],,[356172, 1183375886, 1, 1, 3],,noPlanSynthesised,,127296
1,,[r2, r3, r4, r5, r1],,[162927, 461895568, 1, 1, 3],,noPlanSynthesised,,128881
1,,[r2, r3, r4, r5, r1],,[222971, 554356153, 2, 2, 4],,noPlanSynthesised,,130155
1,,[r2, r3, r4, r5, r1],,[282583, 1425234232, 2, 1, 6],,noPlanSynthesised,,131884
1,,[r2, r3, r4, r5, r1],,[255222, 651600776, 2, 1, 4],,noPlanSynthesised,,133811
1,,[r2, r3, r4, r5, r1],,[105278, 1402948792, 2, 1, 5],,noPlanSynthesised,,136143
1,,[r2, r3, r4, r5, r1],,[240486, 379734099, 2, 2, 3],,noPlanSynthesised,,137721
1,,[r2, r3, r4, r5, r1],,[196368, 1753781667, 1, 1, 1],,noPlanSynthesised,,139884
1,,[r2, r3, r4, r5, r1],,[260072, 1107005233, 2, 1, 2],,noPlanSynthesised,,141502
