alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[586, 2, 2, 2, 5],,noPlanSynthesised,,15594
1,,[r2, r3, r4, r5, r1],,[176, 4, 2, 1, 6],,noPlanSynthesised,,15696
1,,[r2, r3, r4, r5, r1],,[374, 6, 2, 2, 3],,noPlanSynthesised,,15813
1,,[r2, r3, r4, r5, r1],,[438, 2, 1, 2, 3],,noPlanSynthesised,,16101
1,,[r2, r3, r4, r5, r1],,[463, 4, 2, 2, 3],,noPlanSynthesised,,16252
1,,[r2, r3, r4, r5, r1],,[387, 6, 2, 1, 6],,noPlanSynthesised,,16366
1,,[r2, r3, r4, r5, r1],,[441, 4, 2, 1, 6],,noPlanSynthesised,,16439
1,,[r2, r3, r4, r5, r1],,[690, 1, 1, 2, 5],,noPlanSynthesised,,16682
1,,[r2, r3, r4, r5, r1],,[371, 3, 2, 2, 1],,noPlanSynthesised,,16788
1,,[r2, r3, r4, r5, r1],,[591, 6, 2, 1, 1],,noPlanSynthesised,,16870
1,,[r2, r3, r4, r5, r1],,[191, 2, 1, 2, 3],,noPlanSynthesised,,16956
1,,[r2, r3, r4, r5, r1],,[404, 2, 2, 1, 6],,noPlanSynthesised,,17098
1,,[r2, r3, r4, r5, r1],,[127, 4, 1, 1, 1],,noPlanSynthesised,,17361
1,,[r2, r3, r4, r5, r1],,[212, 3, 1, 2, 6],,noPlanSynthesised,,17488
1,,[r2, r3, r4, r5, r1],,[499, 4, 2, 2, 1],,noPlanSynthesised,,17731
1,,[r2, r3, r4, r5, r1],,[472, 2, 2, 2, 4],,noPlanSynthesised,,17830
1,,[r2, r3, r4, r5, r1],,[424, 6, 1, 2, 3],,noPlanSynthesised,,18234
1,,[r2, r3, r4, r5, r1],,[291, 3, 1, 1, 6],,noPlanSynthesised,,18342
1,,[r2, r3, r4, r5, r1],,[353, 5, 1, 1, 5],,noPlanSynthesised,,18443
1,,[r2, r3, r4, r5, r1],,[575, 3, 1, 2, 3],,noPlanSynthesised,,18537
1,,[r2, r3, r4, r5, r1],,[19, 6, 2, 2, 2],,noPlanSynthesised,,18650
1,,[r2, r3, r4, r5, r1],,[615, 1, 1, 2, 3],,noPlanSynthesised,,18766
1,,[r2, r3, r4, r5, r1],,[89, 2, 1, 2, 4],,noPlanSynthesised,,18870
