alloc,,clusters,,tasksAlloc,,file
12,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_6, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation12.xml
13,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_6, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation13.xml
14,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2Reef_16, at2_36, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_6, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation14.xml
15,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation15.xml
16,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation16.xml
17,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation17.xml
18,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation18.xml
19,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation19.xml
20,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation20.xml
21,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_26, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_2, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation21.xml
22,,[[r2, r3, r1]],,{r2=[at2Rock_26, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_12, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation22.xml
23,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_24, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation23.xml
24,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation24.xml
25,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation25.xml
26,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation26.xml
27,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation27.xml
28,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation28.xml
29,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation29.xml
30,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation30.xml
