alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r7, r8, r9],,[2, 17, 1, 2, 1, 1, 1],,noPlanSynthesised,,917948
1,,[r2, r3, r4, r5, r7, r8, r9],,[4, 18, 2, 1, 2, 2, 1],,noPlanSynthesised,,922635
1,,[r2, r3, r4, r5, r7, r8, r9],,[4, 20, 2, 2, 2, 1, 1],,noPlanSynthesised,,928756
1,,[r2, r3, r4, r5, r7, r8, r9],,[5, 3, 2, 1, 2, 2, 1],,noPlanSynthesised,,929827
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 22, 2, 2, 1, 2, 1],,noPlanSynthesised,,933294
1,,[r2, r3, r4, r5, r7, r8, r9],,[1, 10, 1, 2, 1, 1, 1],,noPlanSynthesised,,937651
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 18, 1, 1, 2, 1, 1],,noPlanSynthesised,,941260
1,,[r2, r3, r4, r5, r7, r8, r9],,[5, 3, 1, 1, 2, 1, 1],,noPlanSynthesised,,942205
1,,[r2, r3, r4, r5, r7, r8, r9],,[1, 19, 2, 2, 1, 1, 1],,noPlanSynthesised,,945511
1,,[r2, r3, r4, r5, r7, r8, r9],,[4, 6, 2, 1, 2, 2, 1],,noPlanSynthesised,,948917
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 11, 1, 2, 2, 1, 1],,noPlanSynthesised,,952301
1,,[r2, r3, r4, r5, r7, r8, r9],,[4, 11, 1, 1, 2, 2, 1],,noPlanSynthesised,,955417
1,,[r2, r3, r4, r5, r7, r8, r9],,[1, 14, 1, 2, 1, 2, 1],,noPlanSynthesised,,958615
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 18, 2, 2, 1, 1, 1],,noPlanSynthesised,,3757508
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 15, 1, 2, 2, 2, 1],,noPlanSynthesised,,3766047
1,,[r2, r3, r4, r5, r7, r8, r9],,[2, 14, 1, 2, 2, 1, 1],,noPlanSynthesised,,3769057
1,,[r2, r3, r4, r5, r7, r8, r9],,[1, 23, 1, 2, 2, 2, 1],,noPlanSynthesised,,3772308
1,,[r2, r3, r4, r5, r7, r8, r9],,[3, 22, 1, 1, 1, 1, 1],,noPlanSynthesised,,3775240
1,,[r2, r3, r4, r5, r7, r8, r9],,[6, 11, 2, 2, 1, 1, 1],,noPlanSynthesised,,3777582
1,,[r2, r3, r4, r5, r7, r8, r9],,[5, 6, 1, 1, 2, 1, 1],,noPlanSynthesised,,4019277
1,,[r2, r3, r4, r5, r7, r8, r9],,[3, 4, 2, 2, 1, 2, 1],,noPlanSynthesised,,4122665
