alloc,,robots,,perm,,reason,,time
696,,[r2, r3, r4, r5, r1],,[3, 11, 1, 2, 14],,noPlanSynthesised,,35180
168,,[r2, r3, r4, r5, r1],,[2, 6, 2, 1, 63],,noPlanSynthesised,,35372
776,,[r2, r3, r4, r5, r1],,[393, 6, 1, 2, 2],,noPlanSynthesised,,35984
768,,[r2, r3, r4, r5, r1],,[28, 17, 1, 1, 6],,noPlanSynthesised,,36536
1352,,[r2, r3, r4, r5, r1],,[365, 3, 1, 2, 1],,noPlanSynthesised,,37188
418,,[r2, r3, r4, r5, r1],,[92, 22, 2, 1, 5],,noPlanSynthesised,,37392
909,,[r2, r3, r4, r5, r1],,[343, 6, 1, 1, 2],,noPlanSynthesised,,37946
875,,[r2, r3, r4, r5, r1],,[66, 92, 1, 1, 1],,noPlanSynthesised,,38136
171,,[r2, r3, r4, r5, r1],,[6, 11, 1, 1, 99],,noPlanSynthesised,,38450
713,,[r2, r3, r4, r5, r1],,[1200, 3, 1, 2, 2],,noPlanSynthesised,,38528
318,,[r2, r3, r4, r5, r1],,[14, 20, 1, 2, 18],,noPlanSynthesised,,38727
771,,[r2, r3, r4, r5, r1],,[15, 11, 1, 1, 2],,noPlanSynthesised,,39403
483,,[r2, r3, r4, r5, r1],,[12, 6, 2, 2, 42],,noPlanSynthesised,,39498
28,,[r2, r3, r4, r5, r1],,[1, 6, 2, 2, 40],,noPlanSynthesised,,40534
1624,,[r2, r3, r4, r5, r1],,[1, 27, 1, 1, 649],,noPlanSynthesised,,41579
513,,[r2, r3, r4, r5, r1],,[17, 3, 1, 1, 8],,noPlanSynthesised,,41965
1580,,[r2, r3, r4, r5, r1],,[15, 3, 1, 2, 9],,noPlanSynthesised,,42233
562,,[r2, r3, r4, r5, r1],,[13, 3, 1, 1, 19],,noPlanSynthesised,,42399
386,,[r2, r3, r4, r5, r1],,[672, 1, 1, 1, 1],,noPlanSynthesised,,42473
574,,[r2, r3, r4, r5, r1],,[22, 1, 1, 2, 6],,noPlanSynthesised,,42772
65,,[r2, r3, r4, r5, r1],,[5, 4, 2, 1, 107],,noPlanSynthesised,,43084
713,,[r2, r3, r4, r5, r1],,[3636, 3, 2, 2, 1],,noPlanSynthesised,,43154
1338,,[r2, r3, r4, r5, r1],,[22279, 4, 2, 1, 1],,noPlanSynthesised,,43223
1384,,[r2, r3, r4, r5, r1],,[1828, 22, 2, 2, 1],,noPlanSynthesised,,43473
368,,[r2, r3, r4, r5, r1],,[1, 15, 1, 1, 15],,noPlanSynthesised,,43486
196,,[r2, r3, r4, r5, r1],,[444, 3, 2, 2, 2],,noPlanSynthesised,,43587
171,,[r2, r3, r4, r5, r1],,[6, 11, 2, 1, 26],,noPlanSynthesised,,43988
515,,[r2, r3, r4, r5, r1],,[110, 1, 2, 2, 2],,noPlanSynthesised,,44097
753,,[r2, r3, r4, r5, r1],,[7, 23, 1, 1, 3],,noPlanSynthesised,,44325
1656,,[r2, r3, r4, r5, r1],,[1, 22, 2, 2, 603],,noPlanSynthesised,,44532
1102,,[r2, r3, r4, r5, r1],,[1, 1, 1, 1, 36],,noPlanSynthesised,,44860
950,,[r2, r3, r4, r5, r1],,[6, 16, 1, 1, 13],,noPlanSynthesised,,45269
1522,,[r2, r3, r4, r5, r1],,[39, 1, 1, 1, 7],,noPlanSynthesised,,45377
147,,[r2, r3, r4, r5, r1],,[45, 4, 1, 1, 23],,noPlanSynthesised,,45445
1151,,[r2, r3, r4, r5, r1],,[4, 14, 2, 1, 112],,noPlanSynthesised,,45635
1711,,[r2, r3, r4, r5, r1],,[3, 6, 1, 2, 446],,noPlanSynthesised,,45742
1128,,[r2, r3, r4, r5, r1],,[3, 10, 2, 2, 110],,noPlanSynthesised,,46391
