alloc,,robots,,permut,,attr,,time   (maxSucc value=prob. of failing times 100)
1478,,[r2, r3, r4, r5, r1],,(13,14,1,1,11),,{minIdle=42.0, maxSucc=66.91999858750415, minTravel=59.0},,54194.0
608,,[r2, r3, r4, r5, r1],,(100,22,1,1,2),,{minIdle=39.0, maxSucc=70.81120241901641, minTravel=54.0},,91222.0
1107,,[r2, r3, r4, r5, r1],,(6,2,1,1,3),,{minIdle=23.0, maxSucc=61.47152776662248, minTravel=56.0},,100681.0
1709,,[r2, r3, r4, r5, r1],,(2,66,2,2,79),,{minIdle=12.0, maxSucc=56.93876632740161, minTravel=57.0},,137974.0
1078,,[r2, r3, r4, r5, r1],,(3,21,2,2,16),,{minIdle=13.0, maxSucc=59.48805872074174, minTravel=58.0},,146688.0
1600,,[r2, r3, r4, r5, r1],,(1,3,1,1,2231),,{minIdle=26.0, maxSucc=62.810752737301385, minTravel=48.0},,149386.0
444,,[r2, r3, r4, r5, r1],,(10,6,1,1,13),,{minIdle=18.0, maxSucc=61.578254836521026, minTravel=63.0},,210169.0
1454,,[r2, r3, r4, r5, r1],,(40,12,1,1,5),,{minIdle=38.0, maxSucc=63.13064858049999, minTravel=43.0},,215635.0
1295,,[r2, r3, r4, r5, r1],,(3,12,1,1,75),,{minIdle=22.0, maxSucc=57.487469027938864, minTravel=61.0},,253222.0
1614,,[r2, r3, r4, r5, r1],,(1,16,1,1,86),,{minIdle=32.0, maxSucc=46.837983120248886, minTravel=57.0},,274087.0
1368,,[r2, r3, r4, r5, r1],,(121,4,1,1,1),,{minIdle=35.0, maxSucc=74.76389919944222, minTravel=63.0},,279172.0
1289,,[r2, r3, r4, r5, r1],,(2,13,1,1,11),,{minIdle=30.0, maxSucc=52.76385447548762, minTravel=55.0},,283743.0
1659,,[r2, r3, r4, r5, r1],,(1,12,1,1,1807),,{minIdle=27.0, maxSucc=49.846327840150096, minTravel=53.0},,286735.0
724,,[r2, r3, r4, r5, r1],,(486,14,1,1,1),,{minIdle=33.0, maxSucc=74.76389919944222, minTravel=52.0},,298046.0
1511,,[r2, r3, r4, r5, r1],,(7,20,2,2,4),,{minIdle=30.0, maxSucc=67.11344888816203, minTravel=73.0},,318020.0
818,,[r2, r3, r4, r5, r1],,(16,24,2,2,4),,{minIdle=17.0, maxSucc=61.96247228815582, minTravel=58.0},,325620.0
550,,[r2, r3, r4, r5, r1],,(25,4,2,2,2),,{minIdle=29.0, maxSucc=68.66105129342498, minTravel=49.0},,331210.0
477,,[r2, r3, r4, r5, r1],,(60,24,1,1,6),,{minIdle=18.0, maxSucc=68.87838641758204, minTravel=40.0},,342450.0
1655,,[r2, r3, r4, r5, r1],,(2,120,1,1,20),,{minIdle=20.0, maxSucc=52.815503686510965, minTravel=49.0},,346507.0
731,,[r2, r3, r4, r5, r1],,(5,421,2,2,1),,{minIdle=23.0, maxSucc=61.96247228815582, minTravel=41.0},,357442.0
1685,,[r2, r3, r4, r5, r1],,(4,498,2,2,1),,{minIdle=17.0, maxSucc=64.07566827214717, minTravel=41.0},,360439.0
674,,[r2, r3, r4, r5, r1],,(72,3,2,2,3),,{minIdle=27.0, maxSucc=69.92727144318559, minTravel=52.0},,363010.0
1042,,[r2, r3, r4, r5, r1],,(3,4,1,1,63),,{minIdle=35.0, maxSucc=54.67238560779115, minTravel=54.0},,417028.0
267,,[r2, r3, r4, r5, r1],,(3,22,2,2,8),,{minIdle=33.0, maxSucc=60.12772095146686, minTravel=62.0},,430498.0
1009,,[r2, r3, r4, r5, r1],,(6,46,1,1,12),,{minIdle=27.0, maxSucc=59.48805872074174, minTravel=50.0},,434678.0
837,,[r2, r3, r4, r5, r1],,(1728,6,2,2,2),,{minIdle=21.0, maxSucc=73.43568336783392, minTravel=72.0},,442064.0
1386,,[r2, r3, r4, r5, r1],,(36,14,1,1,2),,{minIdle=25.0, maxSucc=62.067839400931014, minTravel=51.0},,445303.0
1555,,[r2, r3, r4, r5, r1],,(12,3,2,2,21),,{minIdle=23.0, maxSucc=63.96444743088446, minTravel=60.0},,451338.0
235,,[r2, r3, r4, r5, r1],,(5,43,2,2,1),,{minIdle=42.0, maxSucc=55.69746772385207, minTravel=48.0},,453401.0
149,,[r2, r3, r4, r5, r1],,(29,6,2,2,12),,{minIdle=14.0, maxSucc=66.81758372245, minTravel=53.0},,464457.0
967,,[r2, r3, r4, r5, r1],,(6,1,1,1,82),,{minIdle=18.0, maxSucc=56.805449814483325, minTravel=51.0},,474783.0
732,,[r2, r3, r4, r5, r1],,(240,4,2,2,1),,{minIdle=15.0, maxSucc=63.34625882271928, minTravel=57.0},,517470.0
932,,[r2, r3, r4, r5, r1],,(2,6,2,2,3157),,{minIdle=13.0, maxSucc=54.40575258195464, minTravel=80.0},,555021.0
530,,[r2, r3, r4, r5, r1],,(385,6,2,2,6),,{minIdle=11.0, maxSucc=73.27942268176234, minTravel=62.0},,584168.0
