alloc,,robots,,permut,,attr,,time  (maxSucc value=prob. of failing times 100)
100,,[r2, r3, r1],,[1481539463, 247, 436102951],,{maxSucc=63.135946840265866, minTravel=694.0},,2898
100,,[r2, r3, r1],,[763291103, 677, 1187529027],,{maxSucc=63.135946840265866, minTravel=755.0},,5558
38,,[r2, r3, r1],,[1736371763, 271, 1400016300],,{maxSucc=53.66555481422599, minTravel=784.0},,8158
58,,[r2, r3, r1],,[1998858530, 34, 1338886490],,{maxSucc=53.66555481422599, minTravel=762.0},,11191
40,,[r2, r3, r1],,[498499602, 237, 956196103],,{maxSucc=63.13594684026588, minTravel=804.0},,14150
64,,[r2, r3, r1],,[454880422, 498, 1666743720],,{maxSucc=53.665554814226, minTravel=792.0},,16514
81,,[r2, r3, r1],,[1817302086, 339, 1342348096],,{maxSucc=53.66555481422599, minTravel=778.0},,18883
50,,[r2, r3, r1],,[1798020825, 480, 1826311318],,{maxSucc=63.135946840265866, minTravel=762.0},,21400
48,,[r2, r3, r1],,[1413612729, 506, 99556549],,{maxSucc=63.135946840265866, minTravel=789.0},,23981
34,,[r2, r3, r1],,[877176089, 488, 640415430],,{maxSucc=63.135946840265866, minTravel=771.0},,28937
91,,[r2, r3, r1],,[1715752407, 551, 597704417],,{maxSucc=53.66555481422599, minTravel=784.0},,31561
6,,[r2, r3, r1],,[1614726830, 709, 1180461354],,{maxSucc=54.76635805229372, minTravel=749.0},,34143
56,,[r2, r3, r1],,[730889308, 310, 1456646058],,{maxSucc=53.66555481422598, minTravel=836.0},,41970
59,,[r2, r3, r1],,[711190198, 700, 310962961],,{maxSucc=63.135946840265866, minTravel=778.0},,45301
88,,[r2, r3, r1],,[1019689915, 543, 1830820310],,{maxSucc=63.135946840265866, minTravel=784.0},,48591
71,,[r2, r3, r1],,[1922215341, 222, 983630234],,{maxSucc=63.135946840265866, minTravel=783.0},,51385
38,,[r2, r3, r1],,[129333485, 298, 1916837603],,{maxSucc=53.665554814226, minTravel=790.0},,54061
84,,[r2, r3, r1],,[1896720993, 449, 1245297871],,{maxSucc=53.66555481422599, minTravel=758.0},,59689
48,,[r2, r3, r1],,[1806296933, 175, 32586788],,{maxSucc=63.135946840265866, minTravel=785.0},,62462
77,,[r2, r3, r1],,[708744253, 705, 1405121071],,{maxSucc=53.66555481422598, minTravel=761.0},,65452
74,,[r2, r3, r1],,[1098225985, 465, 965094556],,{maxSucc=63.135946840265866, minTravel=824.0},,67982
23,,[r2, r3, r1],,[1919358241, 427, 1727374927],,{maxSucc=64.43100947328676, minTravel=752.0},,73341
70,,[r2, r3, r1],,[1408768579, 64, 1933919057],,{maxSucc=63.135946840265866, minTravel=717.0},,76049
8,,[r2, r3, r1],,[1091809546, 392, 1139472690],,{maxSucc=60.604455646159614, minTravel=715.0},,78770
75,,[r2, r3, r1],,[1166493877, 681, 1733979463],,{maxSucc=53.66555481422599, minTravel=669.0},,81401
76,,[r2, r3, r1],,[1575528494, 442, 471628777],,{maxSucc=63.135946840265866, minTravel=842.0},,84158
62,,[r2, r3, r1],,[1766450918, 134, 15617379],,{maxSucc=63.135946840265866, minTravel=788.0},,86815
76,,[r2, r3, r1],,[1055280403, 572, 558390276],,{maxSucc=63.135946840265866, minTravel=831.0},,92029
51,,[r2, r3, r1],,[937319068, 633, 645034293],,{maxSucc=53.66555481422599, minTravel=735.0},,94504
55,,[r2, r3, r1],,[1466276568, 550, 1622589545],,{maxSucc=53.66555481422599, minTravel=634.0},,96950
93,,[r2, r3, r1],,[1058953557, 370, 75257767],,{maxSucc=63.135946840265866, minTravel=716.0},,99462
10,,[r2, r3, r1],,[800301807, 626, 221314282],,{maxSucc=58.513875950229796, minTravel=791.0},,102284
59,,[r2, r3, r1],,[1534832562, 460, 542178890],,{maxSucc=63.135946840265866, minTravel=728.0},,105029
79,,[r2, r3, r1],,[692149063, 639, 869873052],,{maxSucc=53.66555481422599, minTravel=836.0},,107583
6,,[r2, r3, r1],,[1274886005, 697, 510331349],,{maxSucc=64.43100947328674, minTravel=775.0},,110019
44,,[r2, r3, r1],,[1680274797, 585, 1721421247],,{maxSucc=53.665554814226, minTravel=782.0},,112709
70,,[r2, r3, r1],,[1702165774, 570, 1045750838],,{maxSucc=53.66555481422598, minTravel=716.0},,116843
54,,[r2, r3, r1],,[1537265410, 297, 1938437135],,{maxSucc=53.66555481422599, minTravel=814.0},,121275
12,,[r2, r3, r1],,[1242558488, 80, 371537106],,{maxSucc=58.51387595022979, minTravel=738.0},,135020
60,,[r2, r3, r1],,[502270724, 619, 618014517],,{maxSucc=53.66555481422598, minTravel=731.0},,138383
63,,[r2, r3, r1],,[1400228058, 295, 616557612],,{maxSucc=63.135946840265866, minTravel=772.0},,141654
88,,[r2, r3, r1],,[1073330725, 93, 576596922],,{maxSucc=63.135946840265845, minTravel=717.0},,144459
22,,[r2, r3, r1],,[319655819, 572, 1358854124],,{maxSucc=53.140152648678075, minTravel=759.0},,150978
46,,[r2, r3, r1],,[346686710, 257, 589242374],,{maxSucc=63.135946840265866, minTravel=817.0},,155662
59,,[r2, r3, r1],,[1147967227, 703, 243782406],,{maxSucc=53.665554814226, minTravel=737.0},,158946
86,,[r2, r3, r1],,[248505339, 710, 60631786],,{maxSucc=63.135946840265866, minTravel=791.0},,161647
83,,[r2, r3, r1],,[469714858, 529, 1660582119],,{maxSucc=53.66555481422599, minTravel=833.0},,164195
98,,[r2, r3, r1],,[733144121, 53, 857159245],,{maxSucc=63.135946840265866, minTravel=804.0},,167374
77,,[r2, r3, r1],,[634942436, 588, 1425503198],,{maxSucc=63.135946840265866, minTravel=749.0},,170316
82,,[r2, r3, r1],,[872025042, 702, 1685481286],,{maxSucc=63.135946840265866, minTravel=693.0},,175694
16,,[r2, r3, r1],,[1707899694, 434, 813327240],,{maxSucc=57.92282669820727, minTravel=804.0},,178462
88,,[r2, r3, r1],,[1774842665, 626, 847369170],,{maxSucc=63.13594684026588, minTravel=628.0},,181140
86,,[r2, r3, r1],,[494045008, 177, 1736282065],,{maxSucc=53.66555481422599, minTravel=752.0},,183843
44,,[r2, r3, r1],,[620999246, 96, 48880554],,{maxSucc=53.66555481422598, minTravel=717.0},,186557
1,,[r2, r3, r1],,[1915674080, 392, 829461362],,{maxSucc=60.59814531133595, minTravel=686.0},,189155
42,,[r2, r3, r1],,[743781373, 441, 908593662],,{maxSucc=53.66555481422599, minTravel=672.0},,191740
53,,[r2, r3, r1],,[1687992168, 180, 228441113],,{maxSucc=63.135946840265866, minTravel=702.0},,194308
83,,[r2, r3, r1],,[1548777738, 5, 315745183],,{maxSucc=53.66555481422599, minTravel=719.0},,199426
52,,[r2, r3, r1],,[1633451244, 131, 1824539857],,{maxSucc=53.66555481422598, minTravel=712.0},,201976
6,,[r2, r3, r1],,[1986771589, 649, 1061900368],,{maxSucc=64.43100947328672, minTravel=772.0},,204829
94,,[r2, r3, r1],,[1481666415, 480, 841454394],,{maxSucc=53.66555481422599, minTravel=765.0},,207339
25,,[r2, r3, r1],,[1376415371, 404, 120730665],,{maxSucc=63.78019119577878, minTravel=736.0},,209986
100,,[r2, r3, r1],,[133397979, 73, 1758503482],,{maxSucc=63.135946840265866, minTravel=727.0},,212703
98,,[r2, r3, r1],,[135747783, 631, 1915580897],,{maxSucc=63.13594684026588, minTravel=748.0},,215321
31,,[r2, r3, r1],,[1740663884, 400, 1705470042],,{maxSucc=53.66555481422599, minTravel=657.0},,222723
48,,[r2, r3, r1],,[1511271085, 631, 1489245340],,{maxSucc=63.135946840265866, minTravel=835.0},,225262
94,,[r2, r3, r1],,[1990946998, 565, 1639943805],,{maxSucc=63.135946840265866, minTravel=729.0},,227746
73,,[r2, r3, r1],,[1590879000, 358, 1886348164],,{maxSucc=63.13594684026588, minTravel=679.0},,230413
26,,[r2, r3, r1],,[992876621, 581, 786304029],,{maxSucc=64.43100947328672, minTravel=733.0},,232902
52,,[r2, r3, r1],,[1322908070, 153, 1976296846],,{maxSucc=53.66555481422599, minTravel=708.0},,235448
78,,[r2, r3, r1],,[1399106711, 308, 1938420140],,{maxSucc=63.135946840265866, minTravel=733.0},,238038
33,,[r2, r3, r1],,[1991765984, 77, 1860879023],,{maxSucc=63.13594684026588, minTravel=834.0},,239792
38,,[r2, r3, r1],,[1463635985, 62, 404269569],,{maxSucc=63.135946840265866, minTravel=702.0},,242479
34,,[r2, r3, r1],,[43769265, 334, 1755391721],,{maxSucc=63.13594684026585, minTravel=792.0},,245914
76,,[r2, r3, r1],,[109777979, 611, 1274135685],,{maxSucc=53.66555481422599, minTravel=770.0},,248778
