alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[12, 134, 14, 2, 2],,noPlanSynthesised,,20785
1,,[r2, r3, r4, r5, r1],,[8, 506, 18, 20, 2],,noPlanSynthesised,,20878
1,,[r2, r3, r4, r5, r1],,[6, 302, 22, 10, 1],,noPlanSynthesised,,20936
1,,[r2, r3, r4, r5, r1],,[18, 6, 2, 23, 1],,noPlanSynthesised,,20980
1,,[r2, r3, r4, r5, r1],,[18, 696, 4, 8, 1],,noPlanSynthesised,,21011
1,,[r2, r3, r4, r5, r1],,[8, 477, 9, 14, 2],,noPlanSynthesised,,21038
1,,[r2, r3, r4, r5, r1],,[16, 712, 23, 6, 2],,noPlanSynthesised,,21081
1,,[r2, r3, r4, r5, r1],,[12, 137, 7, 2, 1],,noPlanSynthesised,,21261
1,,[r2, r3, r4, r5, r1],,[9, 470, 8, 18, 1],,noPlanSynthesised,,21457
1,,[r2, r3, r4, r5, r1],,[22, 143, 13, 13, 2],,noPlanSynthesised,,21531
1,,[r2, r3, r4, r5, r1],,[4, 592, 17, 10, 2],,noPlanSynthesised,,21748
1,,[r2, r3, r4, r5, r1],,[24, 505, 10, 15, 1],,noPlanSynthesised,,22102
1,,[r2, r3, r4, r5, r1],,[4, 684, 13, 1, 2],,noPlanSynthesised,,22329
1,,[r2, r3, r4, r5, r1],,[13, 294, 13, 1, 1],,noPlanSynthesised,,22562
1,,[r2, r3, r4, r5, r1],,[24, 91, 15, 17, 1],,noPlanSynthesised,,22858
1,,[r2, r3, r4, r5, r1],,[12, 431, 1, 20, 1],,noPlanSynthesised,,23084
1,,[r2, r3, r4, r5, r1],,[17, 401, 12, 4, 1],,noPlanSynthesised,,23160
1,,[r2, r3, r4, r5, r1],,[5, 598, 20, 19, 1],,noPlanSynthesised,,23194
1,,[r2, r3, r4, r5, r1],,[16, 542, 23, 1, 1],,noPlanSynthesised,,23231
1,,[r2, r3, r4, r5, r1],,[7, 461, 23, 9, 2],,noPlanSynthesised,,23261
1,,[r2, r3, r4, r5, r1],,[19, 327, 10, 6, 1],,noPlanSynthesised,,23289
1,,[r2, r3, r4, r5, r1],,[14, 70, 9, 12, 1],,noPlanSynthesised,,23338
1,,[r2, r3, r4, r5, r1],,[17, 410, 23, 10, 1],,noPlanSynthesised,,23387
1,,[r2, r3, r4, r5, r1],,[20, 211, 22, 20, 1],,noPlanSynthesised,,23409
1,,[r2, r3, r4, r5, r1],,[20, 239, 4, 2, 2],,noPlanSynthesised,,23441
1,,[r2, r3, r4, r5, r1],,[5, 475, 6, 7, 1],,noPlanSynthesised,,23467
1,,[r2, r3, r4, r5, r1],,[13, 46, 12, 7, 1],,noPlanSynthesised,,23591
1,,[r2, r3, r4, r5, r1],,[12, 382, 4, 3, 2],,noPlanSynthesised,,23792
1,,[r2, r3, r4, r5, r1],,[12, 57, 17, 11, 2],,noPlanSynthesised,,23961
1,,[r2, r3, r4, r5, r1],,[18, 96, 12, 14, 2],,noPlanSynthesised,,24004
1,,[r2, r3, r4, r5, r1],,[10, 74, 7, 1, 1],,noPlanSynthesised,,24038
1,,[r2, r3, r4, r5, r1],,[23, 701, 18, 5, 1],,noPlanSynthesised,,24057
1,,[r2, r3, r4, r5, r1],,[17, 57, 4, 23, 2],,noPlanSynthesised,,24103
1,,[r2, r3, r4, r5, r1],,[11, 51, 1, 6, 2],,noPlanSynthesised,,24166
1,,[r2, r3, r4, r5, r1],,[9, 483, 11, 21, 1],,noPlanSynthesised,,24380
1,,[r2, r3, r4, r5, r1],,[4, 433, 8, 13, 1],,noPlanSynthesised,,24509
1,,[r2, r3, r4, r5, r1],,[13, 182, 13, 3, 1],,noPlanSynthesised,,24664
1,,[r2, r3, r4, r5, r1],,[18, 636, 24, 7, 1],,noPlanSynthesised,,24757
1,,[r2, r3, r4, r5, r1],,[8, 688, 7, 18, 2],,noPlanSynthesised,,24807
1,,[r2, r3, r4, r5, r1],,[14, 335, 5, 19, 2],,noPlanSynthesised,,24827
1,,[r2, r3, r4, r5, r1],,[23, 301, 19, 16, 1],,noPlanSynthesised,,24852
1,,[r2, r3, r4, r5, r1],,[24, 268, 8, 20, 1],,noPlanSynthesised,,24987
1,,[r2, r3, r4, r5, r1],,[20, 547, 12, 13, 1],,noPlanSynthesised,,25058
1,,[r2, r3, r4, r5, r1],,[24, 181, 11, 24, 1],,noPlanSynthesised,,25326
1,,[r2, r3, r4, r5, r1],,[7, 99, 16, 11, 2],,noPlanSynthesised,,25397
1,,[r2, r3, r4, r5, r1],,[22, 319, 23, 2, 1],,noPlanSynthesised,,25443
1,,[r2, r3, r4, r5, r1],,[6, 708, 20, 9, 2],,noPlanSynthesised,,25467
1,,[r2, r3, r4, r5, r1],,[24, 472, 24, 6, 1],,noPlanSynthesised,,25602
1,,[r2, r3, r4, r5, r1],,[8, 408, 8, 19, 2],,noPlanSynthesised,,25667
1,,[r2, r3, r4, r5, r1],,[10, 287, 22, 9, 1],,noPlanSynthesised,,25730
1,,[r2, r3, r4, r5, r1],,[24, 89, 7, 14, 1],,noPlanSynthesised,,25867
1,,[r2, r3, r4, r5, r1],,[15, 182, 16, 2, 1],,noPlanSynthesised,,25926
1,,[r2, r3, r4, r5, r1],,[20, 103, 15, 12, 1],,noPlanSynthesised,,25968
1,,[r2, r3, r4, r5, r1],,[20, 343, 15, 20, 2],,noPlanSynthesised,,26025
1,,[r2, r3, r4, r5, r1],,[20, 513, 19, 19, 1],,noPlanSynthesised,,26054
1,,[r2, r3, r4, r5, r1],,[18, 284, 7, 7, 2],,noPlanSynthesised,,26068
1,,[r2, r3, r4, r5, r1],,[7, 203, 14, 9, 2],,noPlanSynthesised,,26088
1,,[r2, r3, r4, r5, r1],,[19, 97, 1, 22, 1],,noPlanSynthesised,,26104
1,,[r2, r3, r4, r5, r1],,[1, 63, 23, 23, 1],,noPlanSynthesised,,26241
1,,[r2, r3, r4, r5, r1],,[9, 677, 3, 16, 1],,noPlanSynthesised,,26384
1,,[r2, r3, r4, r5, r1],,[8, 604, 9, 15, 2],,noPlanSynthesised,,26451
1,,[r2, r3, r4, r5, r1],,[19, 620, 13, 12, 2],,noPlanSynthesised,,26495
1,,[r2, r3, r4, r5, r1],,[19, 706, 3, 1, 1],,noPlanSynthesised,,26523
1,,[r2, r3, r4, r5, r1],,[5, 28, 15, 1, 1],,noPlanSynthesised,,26556
1,,[r2, r3, r4, r5, r1],,[3, 24, 24, 5, 1],,noPlanSynthesised,,26577
1,,[r2, r3, r4, r5, r1],,[13, 716, 9, 16, 2],,noPlanSynthesised,,26690
1,,[r2, r3, r4, r5, r1],,[22, 673, 16, 8, 1],,noPlanSynthesised,,26770
1,,[r2, r3, r4, r5, r1],,[16, 49, 11, 10, 2],,noPlanSynthesised,,26811
1,,[r2, r3, r4, r5, r1],,[4, 381, 8, 16, 2],,noPlanSynthesised,,26929
1,,[r2, r3, r4, r5, r1],,[17, 351, 11, 17, 2],,noPlanSynthesised,,26986
1,,[r2, r3, r4, r5, r1],,[7, 516, 7, 22, 2],,noPlanSynthesised,,27043
1,,[r2, r3, r4, r5, r1],,[13, 180, 15, 17, 2],,noPlanSynthesised,,27286
1,,[r2, r3, r4, r5, r1],,[8, 452, 21, 4, 2],,noPlanSynthesised,,27361
1,,[r2, r3, r4, r5, r1],,[24, 602, 8, 20, 1],,noPlanSynthesised,,27551
1,,[r2, r3, r4, r5, r1],,[22, 494, 24, 6, 1],,noPlanSynthesised,,27610
1,,[r2, r3, r4, r5, r1],,[7, 128, 22, 2, 1],,noPlanSynthesised,,27690
1,,[r2, r3, r4, r5, r1],,[22, 456, 14, 13, 2],,noPlanSynthesised,,27718
1,,[r2, r3, r4, r5, r1],,[10, 142, 11, 22, 2],,noPlanSynthesised,,27745
1,,[r2, r3, r4, r5, r1],,[3, 535, 17, 13, 1],,noPlanSynthesised,,27790
1,,[r2, r3, r4, r5, r1],,[6, 7, 24, 13, 2],,noPlanSynthesised,,27823
1,,[r2, r3, r4, r5, r1],,[5, 132, 13, 20, 1],,noPlanSynthesised,,27857
1,,[r2, r3, r4, r5, r1],,[24, 538, 18, 17, 1],,noPlanSynthesised,,27983
