alloc,time
10,2117
20,1436
30,1462
40,860
50,589
60,780
70,734
80,640
90,627
100,651
110,662
120,885
130,1069
140,1610
150,2081
160,1441
170,996
180,1523
190,1059
200,1002
210,1057
220,1124
230,1166
240,1090
250,1240
260,1255
270,3115
280,2349
290,1539
300,2784
310,1592
320,1471
330,1553
340,1549
350,1571
360,1668
370,1570
380,1598
390,1577
400,1627
410,1789
420,1751
430,1757
440,1856
450,1964
460,2312
470,2805
480,2531
490,1965
500,1969
510,2295
520,2113
530,2156
540,2289
550,2281
560,2247
570,2288
580,2349
590,2652
600,3194
610,6433
620,5391
630,3782
640,4355
650,3335
660,3199
670,3205
680,2835
690,3138
700,2824
710,3476
720,3875
730,2977
740,3041
750,2893
760,7810
770,6798
780,3555
790,3087
800,3213
810,3180
820,3564
830,3692
840,3408
850,3417
860,4150
870,3936
880,5299
890,4377
900,4441
910,8540
920,7521
930,6759
940,4313
950,4351
960,5645
970,6310
980,6656
990,5061
1000,7336
