alloc,,robots,,perm,,reason,,time
2,,[r2, r3, r4, r5, r6, r7, r8],,[275, 482, 2, 1, 1, 1, 1],,noPlanSynthesised,,232446
2,,[r2, r3, r4, r5, r6, r7, r8],,[511, 507, 2, 1, 1, 1, 1],,noPlanSynthesised,,232472
2,,[r2, r3, r4, r5, r6, r7, r8],,[215, 694, 1, 1, 1, 1, 1],,noPlanSynthesised,,232483
2,,[r2, r3, r4, r5, r6, r7, r8],,[331, 472, 2, 1, 1, 1, 1],,noPlanSynthesised,,232504
2,,[r2, r3, r4, r5, r6, r7, r8],,[145, 401, 2, 1, 1, 1, 1],,noPlanSynthesised,,232521
2,,[r2, r3, r4, r5, r6, r7, r8],,[578, 289, 2, 1, 1, 1, 1],,noPlanSynthesised,,232527
2,,[r2, r3, r4, r5, r6, r7, r8],,[441, 321, 2, 1, 1, 1, 1],,noPlanSynthesised,,232534
2,,[r2, r3, r4, r5, r6, r7, r8],,[183, 313, 1, 1, 1, 1, 1],,noPlanSynthesised,,232540
2,,[r2, r3, r4, r5, r6, r7, r8],,[687, 596, 1, 1, 1, 1, 1],,noPlanSynthesised,,232547
2,,[r2, r3, r4, r5, r6, r7, r8],,[255, 197, 2, 1, 1, 1, 1],,noPlanSynthesised,,232554
2,,[r2, r3, r4, r5, r6, r7, r8],,[476, 80, 2, 1, 1, 1, 1],,noPlanSynthesised,,232564
2,,[r2, r3, r4, r5, r6, r7, r8],,[581, 365, 1, 1, 1, 1, 1],,noPlanSynthesised,,232571
2,,[r2, r3, r4, r5, r6, r7, r8],,[120, 314, 1, 1, 1, 1, 1],,noPlanSynthesised,,232588
2,,[r2, r3, r4, r5, r6, r7, r8],,[591, 658, 2, 1, 1, 1, 1],,noPlanSynthesised,,232592
2,,[r2, r3, r4, r5, r6, r7, r8],,[48, 614, 1, 1, 1, 1, 1],,noPlanSynthesised,,232608
2,,[r2, r3, r4, r5, r6, r7, r8],,[598, 382, 2, 1, 1, 1, 1],,noPlanSynthesised,,232612
2,,[r2, r3, r4, r5, r6, r7, r8],,[47, 31, 1, 1, 1, 1, 1],,noPlanSynthesised,,232617
2,,[r2, r3, r4, r5, r6, r7, r8],,[404, 529, 2, 1, 1, 1, 1],,noPlanSynthesised,,232622
2,,[r2, r3, r4, r5, r6, r7, r8],,[462, 192, 2, 1, 1, 1, 1],,noPlanSynthesised,,232627
2,,[r2, r3, r4, r5, r6, r7, r8],,[457, 582, 2, 1, 1, 1, 1],,noPlanSynthesised,,232633
2,,[r2, r3, r4, r5, r6, r7, r8],,[339, 576, 2, 1, 1, 1, 1],,noPlanSynthesised,,232637
2,,[r2, r3, r4, r5, r6, r7, r8],,[411, 267, 2, 1, 1, 1, 1],,noPlanSynthesised,,232642
2,,[r2, r3, r4, r5, r6, r7, r8],,[305, 78, 1, 1, 1, 1, 1],,noPlanSynthesised,,232647
2,,[r2, r3, r4, r5, r6, r7, r8],,[195, 691, 2, 1, 1, 1, 1],,noPlanSynthesised,,232651
2,,[r2, r3, r4, r5, r6, r7, r8],,[409, 644, 2, 1, 1, 1, 1],,noPlanSynthesised,,232656
2,,[r2, r3, r4, r5, r6, r7, r8],,[536, 145, 1, 1, 1, 1, 1],,noPlanSynthesised,,232662
2,,[r2, r3, r4, r5, r6, r7, r8],,[167, 519, 1, 1, 1, 1, 1],,noPlanSynthesised,,232670
2,,[r2, r3, r4, r5, r6, r7, r8],,[705, 602, 2, 1, 1, 1, 1],,noPlanSynthesised,,232677
