alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r1],,[854499195, 81, 16771013, 958590050],,noPlanSynthesised,,56947
1,,[r2, r3, r4, r1],,[640843079, 56, 32116973, 1140575470],,noPlanSynthesised,,103022
1,,[r2, r3, r4, r1],,[1964607951, 71, 24288058, 434152899],,noPlanSynthesised,,147348
1,,[r2, r3, r4, r1],,[253491393, 58, 10063144, 773233481],,noPlanSynthesised,,193047
1,,[r2, r3, r4, r1],,[1403044240, 26, 16117016, 1253309680],,noPlanSynthesised,,241617
1,,[r2, r3, r4, r1],,[1678705886, 48, 32682614, 65185690],,noPlanSynthesised,,289697
1,,[r2, r3, r4, r1],,[403075889, 98, 18860037, 916826226],,noPlanSynthesised,,336850
1,,[r2, r3, r4, r1],,[1799357251, 55, 4202020, 645020006],,noPlanSynthesised,,382308
1,,[r2, r3, r4, r1],,[455962268, 109, 16912890, 772510596],,noPlanSynthesised,,430348
1,,[r2, r3, r4, r1],,[1001843922, 107, 37134913, 1253286218],,noPlanSynthesised,,477036
1,,[r2, r3, r4, r1],,[117153024, 27, 33483018, 662703819],,noPlanSynthesised,,522097
1,,[r2, r3, r4, r1],,[1539379910, 96, 36726093, 881746590],,noPlanSynthesised,,570370
1,,[r2, r3, r4, r1],,[1825307200, 64, 31600988, 43311371],,noPlanSynthesised,,616858
1,,[r2, r3, r4, r1],,[1158110341, 45, 26078681, 641301809],,noPlanSynthesised,,664065
1,,[r2, r3, r4, r1],,[1241345752, 14, 6240821, 529084101],,noPlanSynthesised,,710450
1,,[r2, r3, r4, r1],,[1748626858, 112, 4855932, 975292096],,noPlanSynthesised,,757403
1,,[r2, r3, r4, r1],,[309460294, 12, 28240678, 130553305],,noPlanSynthesised,,805152
1,,[r2, r3, r4, r1],,[794539912, 103, 12234177, 479674253],,noPlanSynthesised,,846340
1,,[r2, r3, r4, r1],,[1727833424, 6, 26910259, 607879602],,noPlanSynthesised,,888579
1,,[r2, r3, r4, r1],,[1695068789, 6, 9252245, 650333643],,noPlanSynthesised,,931196
1,,[r2, r3, r4, r1],,[1328525658, 84, 29075346, 893137121],,noPlanSynthesised,,975023
1,,[r2, r3, r4, r1],,[1046119642, 65, 15377452, 640408897],,noPlanSynthesised,,1016920
1,,[r2, r3, r4, r1],,[993698249, 85, 39478163, 1209026004],,noPlanSynthesised,,1059600
1,,[r2, r3, r4, r1],,[1390925081, 62, 33796097, 957669667],,noPlanSynthesised,,1103198
1,,[r2, r3, r4, r1],,[1507516036, 9, 22292759, 184621780],,noPlanSynthesised,,1145629
1,,[r2, r3, r4, r1],,[1667093049, 116, 31648496, 364892144],,noPlanSynthesised,,1189635
1,,[r2, r3, r4, r1],,[299613767, 74, 1571252, 1163602627],,noPlanSynthesised,,1232788
1,,[r2, r3, r4, r1],,[1771604033, 119, 24836533, 131856700],,noPlanSynthesised,,1275865
1,,[r2, r3, r4, r1],,[1676935041, 16, 10728222, 162513518],,noPlanSynthesised,,1320190
1,,[r2, r3, r4, r1],,[1752074589, 18, 4309645, 1266181819],,noPlanSynthesised,,1362465
1,,[r2, r3, r4, r1],,[1873498303, 85, 30344799, 822476162],,noPlanSynthesised,,1407916
1,,[r2, r3, r4, r1],,[1509617370, 44, 20895780, 918151903],,noPlanSynthesised,,1449130
1,,[r2, r3, r4, r1],,[1813483861, 45, 3457812, 449887261],,noPlanSynthesised,,1492963
1,,[r2, r3, r4, r1],,[994576008, 57, 23589749, 605374668],,noPlanSynthesised,,1533710
1,,[r2, r3, r4, r1],,[1701275483, 91, 27053707, 1244820491],,noPlanSynthesised,,1574896
1,,[r2, r3, r4, r1],,[886738805, 86, 17113643, 557913423],,noPlanSynthesised,,1616727
1,,[r2, r3, r4, r1],,[917434349, 59, 25387486, 231319120],,noPlanSynthesised,,1655362
1,,[r2, r3, r4, r1],,[1565245712, 7, 13386012, 341669918],,noPlanSynthesised,,1698824
1,,[r2, r3, r4, r1],,[432644676, 110, 16269835, 81051937],,noPlanSynthesised,,1740435
1,,[r2, r3, r4, r1],,[1958972685, 53, 4190051, 1102429811],,noPlanSynthesised,,1784882
1,,[r2, r3, r4, r1],,[676098789, 85, 35640385, 1251068374],,noPlanSynthesised,,1829332
1,,[r2, r3, r4, r1],,[595584807, 25, 30258296, 19848638],,noPlanSynthesised,,1872405
1,,[r2, r3, r4, r1],,[105213426, 29, 1897409, 455372595],,noPlanSynthesised,,1915886
1,,[r2, r3, r4, r1],,[20682014, 28, 33930807, 706143545],,noPlanSynthesised,,1958091
