alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[1, 2, 59, 79, 2908],,noPlanSynthesised,,3895
1,,[r2, r3, r4, r5, r1],,[2, 6, 22, 45, 2983],,noPlanSynthesised,,4258
1,,[r2, r3, r4, r5, r1],,[2, 4, 68, 54, 4409],,noPlanSynthesised,,4377
1,,[r2, r3, r4, r5, r1],,[2, 2, 73, 28, 1627],,noPlanSynthesised,,4479
1,,[r2, r3, r4, r5, r1],,[1, 2, 8, 106, 378],,noPlanSynthesised,,4713
1,,[r2, r3, r4, r5, r1],,[2, 6, 89, 92, 385],,noPlanSynthesised,,4833
1,,[r2, r3, r4, r5, r1],,[2, 2, 71, 114, 1896],,noPlanSynthesised,,5035
1,,[r2, r3, r4, r5, r1],,[2, 1, 21, 98, 2089],,noPlanSynthesised,,5148
1,,[r2, r3, r4, r5, r1],,[2, 5, 103, 38, 4608],,noPlanSynthesised,,5270
1,,[r2, r3, r4, r5, r1],,[1, 2, 11, 105, 959],,noPlanSynthesised,,5387
1,,[r2, r3, r4, r5, r1],,[1, 5, 81, 53, 3770],,noPlanSynthesised,,5469
1,,[r2, r3, r4, r5, r1],,[2, 5, 103, 88, 483],,noPlanSynthesised,,5550
1,,[r2, r3, r4, r5, r1],,[2, 4, 35, 68, 2945],,noPlanSynthesised,,5625
1,,[r2, r3, r4, r5, r1],,[2, 3, 25, 40, 3134],,noPlanSynthesised,,5700
1,,[r2, r3, r4, r5, r1],,[1, 5, 54, 68, 3485],,noPlanSynthesised,,5759
1,,[r2, r3, r4, r5, r1],,[2, 1, 74, 112, 4423],,noPlanSynthesised,,5854
1,,[r2, r3, r4, r5, r1],,[1, 6, 31, 71, 2077],,noPlanSynthesised,,5925
1,,[r2, r3, r4, r5, r1],,[1, 2, 3, 111, 2607],,noPlanSynthesised,,5991
1,,[r2, r3, r4, r5, r1],,[1, 6, 95, 118, 1768],,noPlanSynthesised,,6023
1,,[r2, r3, r4, r5, r1],,[2, 5, 3, 104, 4191],,noPlanSynthesised,,6086
1,,[r2, r3, r4, r5, r1],,[2, 4, 87, 102, 4702],,noPlanSynthesised,,6129
1,,[r2, r3, r4, r5, r1],,[1, 4, 10, 104, 1649],,noPlanSynthesised,,6240
1,,[r2, r3, r4, r5, r1],,[1, 5, 49, 17, 4556],,noPlanSynthesised,,6315
1,,[r2, r3, r4, r5, r1],,[2, 6, 65, 56, 1969],,noPlanSynthesised,,6394
1,,[r2, r3, r4, r5, r1],,[1, 1, 7, 85, 1041],,noPlanSynthesised,,6471
1,,[r2, r3, r4, r5, r1],,[1, 3, 49, 24, 4558],,noPlanSynthesised,,6569
1,,[r2, r3, r4, r5, r1],,[1, 2, 116, 89, 4888],,noPlanSynthesised,,6658
1,,[r2, r3, r4, r5, r1],,[1, 1, 25, 50, 3376],,noPlanSynthesised,,6727
1,,[r2, r3, r4, r5, r1],,[1, 3, 21, 69, 3],,noPlanSynthesised,,6791
1,,[r2, r3, r4, r5, r1],,[1, 4, 61, 96, 3252],,noPlanSynthesised,,6885
1,,[r2, r3, r4, r5, r1],,[2, 1, 102, 41, 4184],,noPlanSynthesised,,6968
1,,[r2, r3, r4, r5, r1],,[2, 1, 111, 38, 912],,noPlanSynthesised,,7036
1,,[r2, r3, r4, r5, r1],,[2, 1, 94, 49, 2005],,noPlanSynthesised,,7103
1,,[r2, r3, r4, r5, r1],,[2, 4, 63, 85, 4058],,noPlanSynthesised,,7194
1,,[r2, r3, r4, r5, r1],,[1, 6, 116, 109, 2410],,noPlanSynthesised,,7309
1,,[r2, r3, r4, r5, r1],,[2, 1, 111, 24, 295],,noPlanSynthesised,,7498
1,,[r2, r3, r4, r5, r1],,[2, 4, 86, 112, 3774],,noPlanSynthesised,,7598
1,,[r2, r3, r4, r5, r1],,[1, 5, 54, 77, 4659],,noPlanSynthesised,,7689
1,,[r2, r3, r4, r5, r1],,[2, 6, 101, 79, 4751],,noPlanSynthesised,,7772
1,,[r2, r3, r4, r5, r1],,[1, 4, 90, 1, 4991],,noPlanSynthesised,,7877
1,,[r2, r3, r4, r5, r1],,[2, 6, 17, 65, 3979],,noPlanSynthesised,,7982
1,,[r2, r3, r4, r5, r1],,[1, 3, 27, 16, 3137],,noPlanSynthesised,,8072
1,,[r2, r3, r4, r5, r1],,[1, 3, 82, 54, 3771],,noPlanSynthesised,,8173
1,,[r2, r3, r4, r5, r1],,[1, 5, 61, 47, 1866],,noPlanSynthesised,,8272
1,,[r2, r3, r4, r5, r1],,[2, 3, 17, 81, 2820],,noPlanSynthesised,,8445
1,,[r2, r3, r4, r5, r1],,[1, 4, 5, 41, 3471],,noPlanSynthesised,,8520
1,,[r2, r3, r4, r5, r1],,[2, 6, 85, 46, 4521],,noPlanSynthesised,,8679
1,,[r2, r3, r4, r5, r1],,[1, 4, 52, 10, 253],,noPlanSynthesised,,8849
1,,[r2, r3, r4, r5, r1],,[2, 3, 92, 49, 1134],,noPlanSynthesised,,9266
1,,[r2, r3, r4, r5, r1],,[1, 3, 35, 31, 4625],,noPlanSynthesised,,9376
1,,[r2, r3, r4, r5, r1],,[2, 3, 117, 113, 3485],,noPlanSynthesised,,9449
1,,[r2, r3, r4, r5, r1],,[1, 5, 13, 27, 717],,noPlanSynthesised,,9506
1,,[r2, r3, r4, r5, r1],,[1, 3, 83, 75, 4872],,noPlanSynthesised,,9824
1,,[r2, r3, r4, r5, r1],,[2, 1, 32, 108, 3847],,noPlanSynthesised,,9929
1,,[r2, r3, r4, r5, r1],,[1, 5, 51, 51, 4983],,noPlanSynthesised,,10017
1,,[r2, r3, r4, r5, r1],,[2, 3, 48, 18, 2647],,noPlanSynthesised,,10398
1,,[r2, r3, r4, r5, r1],,[2, 1, 105, 43, 4148],,noPlanSynthesised,,10475
1,,[r2, r3, r4, r5, r1],,[2, 1, 34, 25, 1453],,noPlanSynthesised,,10560
1,,[r2, r3, r4, r5, r1],,[1, 2, 4, 115, 4753],,noPlanSynthesised,,10665
1,,[r2, r3, r4, r5, r1],,[2, 3, 34, 12, 3466],,noPlanSynthesised,,11018
1,,[r2, r3, r4, r5, r1],,[1, 5, 93, 115, 596],,noPlanSynthesised,,11128
1,,[r2, r3, r4, r5, r1],,[2, 4, 76, 52, 3231],,noPlanSynthesised,,11240
1,,[r2, r3, r4, r5, r1],,[1, 1, 83, 78, 1125],,noPlanSynthesised,,11309
1,,[r2, r3, r4, r5, r1],,[2, 4, 25, 63, 2513],,noPlanSynthesised,,11412
1,,[r2, r3, r4, r5, r1],,[2, 4, 62, 80, 2510],,noPlanSynthesised,,11496
1,,[r2, r3, r4, r5, r1],,[2, 4, 10, 71, 441],,noPlanSynthesised,,11580
1,,[r2, r3, r4, r5, r1],,[2, 4, 41, 47, 2365],,noPlanSynthesised,,11691
