alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[78, 6, 1, 1945],,noPlanSynthesised,,16369
1,,[r3, r4, r5, r1],,[85, 4, 4, 2947],,noPlanSynthesised,,16533
1,,[r3, r4, r5, r1],,[97, 5, 3, 4687],,noPlanSynthesised,,16625
1,,[r3, r4, r5, r1],,[26, 1, 1, 2289],,noPlanSynthesised,,16719
1,,[r3, r4, r5, r1],,[2, 6, 5, 1345],,noPlanSynthesised,,16809
1,,[r3, r4, r5, r1],,[90, 4, 2, 636],,noPlanSynthesised,,16881
1,,[r3, r4, r5, r1],,[72, 5, 3, 2484],,noPlanSynthesised,,16952
1,,[r3, r4, r5, r1],,[114, 3, 3, 4439],,noPlanSynthesised,,17022
1,,[r3, r4, r5, r1],,[50, 4, 4, 253],,noPlanSynthesised,,17098
1,,[r3, r4, r5, r1],,[13, 4, 6, 2027],,noPlanSynthesised,,17176
1,,[r3, r4, r5, r1],,[81, 2, 5, 4996],,noPlanSynthesised,,17244
1,,[r3, r4, r5, r1],,[11, 2, 6, 4735],,noPlanSynthesised,,17304
1,,[r3, r4, r5, r1],,[91, 3, 6, 1412],,noPlanSynthesised,,17357
1,,[r3, r4, r5, r1],,[93, 5, 6, 3664],,noPlanSynthesised,,17389
1,,[r3, r4, r5, r1],,[108, 4, 4, 649],,noPlanSynthesised,,17431
1,,[r3, r4, r5, r1],,[68, 4, 6, 2571],,noPlanSynthesised,,17485
1,,[r3, r4, r5, r1],,[44, 5, 3, 2752],,noPlanSynthesised,,17577
1,,[r3, r4, r5, r1],,[39, 2, 3, 2878],,noPlanSynthesised,,17612
1,,[r3, r4, r5, r1],,[6, 2, 5, 4298],,noPlanSynthesised,,17669
1,,[r3, r4, r5, r1],,[75, 3, 2, 2698],,noPlanSynthesised,,17740
1,,[r3, r4, r5, r1],,[76, 2, 2, 2920],,noPlanSynthesised,,17817
1,,[r3, r4, r5, r1],,[74, 1, 6, 4339],,noPlanSynthesised,,17874
1,,[r3, r4, r5, r1],,[102, 4, 4, 1312],,noPlanSynthesised,,17917
1,,[r3, r4, r5, r1],,[7, 6, 1, 3837],,noPlanSynthesised,,17982
1,,[r3, r4, r5, r1],,[10, 1, 2, 1606],,noPlanSynthesised,,18041
1,,[r3, r4, r5, r1],,[110, 3, 3, 880],,noPlanSynthesised,,18083
1,,[r3, r4, r5, r1],,[114, 3, 6, 3187],,noPlanSynthesised,,18141
1,,[r3, r4, r5, r1],,[38, 1, 5, 2485],,noPlanSynthesised,,18185
1,,[r3, r4, r5, r1],,[11, 1, 2, 49],,noPlanSynthesised,,18238
1,,[r3, r4, r5, r1],,[64, 6, 4, 4759],,noPlanSynthesised,,18276
1,,[r3, r4, r5, r1],,[114, 4, 4, 3021],,noPlanSynthesised,,18332
1,,[r3, r4, r5, r1],,[38, 2, 5, 867],,noPlanSynthesised,,18383
1,,[r3, r4, r5, r1],,[54, 1, 6, 4627],,noPlanSynthesised,,18491
1,,[r3, r4, r5, r1],,[7, 2, 4, 1895],,noPlanSynthesised,,18558
1,,[r3, r4, r5, r1],,[35, 2, 5, 1333],,noPlanSynthesised,,18614
1,,[r3, r4, r5, r1],,[47, 1, 1, 4422],,noPlanSynthesised,,18669
1,,[r3, r4, r5, r1],,[83, 6, 3, 3828],,noPlanSynthesised,,18704
1,,[r3, r4, r5, r1],,[113, 1, 6, 593],,noPlanSynthesised,,18734
1,,[r3, r4, r5, r1],,[36, 2, 5, 740],,noPlanSynthesised,,18787
1,,[r3, r4, r5, r1],,[119, 3, 5, 1471],,noPlanSynthesised,,18843
1,,[r3, r4, r5, r1],,[46, 4, 1, 3356],,noPlanSynthesised,,18894
1,,[r3, r4, r5, r1],,[61, 2, 5, 2614],,noPlanSynthesised,,18951
1,,[r3, r4, r5, r1],,[100, 1, 4, 195],,noPlanSynthesised,,19039
1,,[r3, r4, r5, r1],,[83, 5, 4, 1999],,noPlanSynthesised,,19086
1,,[r3, r4, r5, r1],,[32, 2, 6, 4452],,noPlanSynthesised,,19141
1,,[r3, r4, r5, r1],,[74, 6, 2, 2901],,noPlanSynthesised,,19210
1,,[r3, r4, r5, r1],,[104, 3, 4, 1994],,noPlanSynthesised,,19235
1,,[r3, r4, r5, r1],,[59, 6, 1, 2774],,noPlanSynthesised,,19264
1,,[r3, r4, r5, r1],,[77, 6, 4, 2628],,noPlanSynthesised,,19295
1,,[r3, r4, r5, r1],,[117, 2, 4, 736],,noPlanSynthesised,,19326
1,,[r3, r4, r5, r1],,[97, 5, 4, 2754],,noPlanSynthesised,,19355
1,,[r3, r4, r5, r1],,[22, 2, 6, 532],,noPlanSynthesised,,19389
1,,[r3, r4, r5, r1],,[54, 1, 2, 4517],,noPlanSynthesised,,19441
1,,[r3, r4, r5, r1],,[110, 2, 3, 2935],,noPlanSynthesised,,19520
1,,[r3, r4, r5, r1],,[83, 2, 6, 1138],,noPlanSynthesised,,19559
1,,[r3, r4, r5, r1],,[57, 2, 6, 507],,noPlanSynthesised,,19586
1,,[r3, r4, r5, r1],,[32, 6, 4, 4527],,noPlanSynthesised,,19608
1,,[r3, r4, r5, r1],,[19, 1, 3, 2826],,noPlanSynthesised,,19647
1,,[r3, r4, r5, r1],,[46, 5, 4, 3044],,noPlanSynthesised,,19697
1,,[r3, r4, r5, r1],,[11, 2, 4, 2251],,noPlanSynthesised,,19724
1,,[r3, r4, r5, r1],,[65, 2, 5, 3084],,noPlanSynthesised,,19788
1,,[r3, r4, r5, r1],,[10, 5, 3, 858],,noPlanSynthesised,,19836
1,,[r3, r4, r5, r1],,[64, 1, 4, 2929],,noPlanSynthesised,,19866
