alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[78, 6, 1, 1945],,noPlanSynthesised,,16369
1,,[r3, r4, r5, r1],,[27, 3, 1, 4580],,noPlanSynthesised,,19888
1,,[r3, r4, r5, r1],,[65, 4, 2, 4834],,noPlanSynthesised,,19946
1,,[r3, r4, r5, r1],,[114, 4, 2, 231],,noPlanSynthesised,,20006
1,,[r3, r4, r5, r1],,[63, 3, 5, 2559],,noPlanSynthesised,,20041
1,,[r3, r4, r5, r1],,[63, 1, 2, 2086],,noPlanSynthesised,,20074
1,,[r3, r4, r5, r1],,[86, 3, 4, 251],,noPlanSynthesised,,20115
1,,[r3, r4, r5, r1],,[114, 6, 6, 1619],,noPlanSynthesised,,20135
1,,[r3, r4, r5, r1],,[74, 4, 2, 3321],,noPlanSynthesised,,20167
1,,[r3, r4, r5, r1],,[38, 3, 2, 4899],,noPlanSynthesised,,20195
1,,[r3, r4, r5, r1],,[5, 2, 5, 3568],,noPlanSynthesised,,20254
1,,[r3, r4, r5, r1],,[15, 4, 5, 3421],,noPlanSynthesised,,20286
1,,[r3, r4, r5, r1],,[112, 3, 4, 1079],,noPlanSynthesised,,20320
1,,[r3, r4, r5, r1],,[30, 4, 4, 4058],,noPlanSynthesised,,20355
1,,[r3, r4, r5, r1],,[39, 5, 4, 2840],,noPlanSynthesised,,20386
1,,[r3, r4, r5, r1],,[33, 6, 1, 422],,noPlanSynthesised,,20418
1,,[r3, r4, r5, r1],,[23, 1, 3, 3808],,noPlanSynthesised,,20482
1,,[r3, r4, r5, r1],,[13, 5, 5, 3693],,noPlanSynthesised,,20572
1,,[r3, r4, r5, r1],,[57, 6, 5, 3469],,noPlanSynthesised,,20598
1,,[r3, r4, r5, r1],,[22, 3, 6, 430],,noPlanSynthesised,,20626
1,,[r3, r4, r5, r1],,[38, 3, 5, 4926],,noPlanSynthesised,,20687
1,,[r3, r4, r5, r1],,[83, 5, 2, 3771],,noPlanSynthesised,,20711
1,,[r3, r4, r5, r1],,[18, 4, 2, 183],,noPlanSynthesised,,20743
1,,[r3, r4, r5, r1],,[4, 2, 1, 231],,noPlanSynthesised,,20774
1,,[r3, r4, r5, r1],,[43, 6, 2, 4426],,noPlanSynthesised,,20812
1,,[r3, r4, r5, r1],,[85, 4, 6, 2870],,noPlanSynthesised,,20854
1,,[r3, r4, r5, r1],,[88, 1, 1, 1005],,noPlanSynthesised,,20909
1,,[r3, r4, r5, r1],,[27, 2, 2, 2047],,noPlanSynthesised,,20942
1,,[r3, r4, r5, r1],,[100, 3, 1, 4106],,noPlanSynthesised,,20995
1,,[r3, r4, r5, r1],,[99, 6, 6, 1325],,noPlanSynthesised,,21021
1,,[r3, r4, r5, r1],,[34, 6, 1, 2522],,noPlanSynthesised,,21050
1,,[r3, r4, r5, r1],,[111, 4, 6, 4137],,noPlanSynthesised,,21082
1,,[r3, r4, r5, r1],,[48, 5, 1, 4841],,noPlanSynthesised,,21108
1,,[r3, r4, r5, r1],,[74, 3, 5, 2817],,noPlanSynthesised,,21171
1,,[r3, r4, r5, r1],,[30, 3, 6, 2389],,noPlanSynthesised,,21214
1,,[r3, r4, r5, r1],,[41, 1, 1, 1668],,noPlanSynthesised,,21260
1,,[r3, r4, r5, r1],,[78, 5, 3, 2270],,noPlanSynthesised,,21280
1,,[r3, r4, r5, r1],,[113, 4, 3, 371],,noPlanSynthesised,,21312
2,,[r3, r4, r5, r1],,[299, 5, 3, 679],,noPlanSynthesised,,21609
2,,[r3, r4, r5, r1],,[557, 4, 1, 242],,noPlanSynthesised,,21616
2,,[r3, r4, r5, r1],,[443, 6, 5, 499],,noPlanSynthesised,,21623
2,,[r3, r4, r5, r1],,[592, 2, 3, 500],,noPlanSynthesised,,21639
2,,[r3, r4, r5, r1],,[231, 1, 5, 8],,noPlanSynthesised,,21649
2,,[r3, r4, r5, r1],,[492, 5, 1, 81],,noPlanSynthesised,,22245
2,,[r3, r4, r5, r1],,[592, 1, 2, 319],,noPlanSynthesised,,22319
2,,[r3, r4, r5, r1],,[675, 6, 5, 531],,noPlanSynthesised,,22401
2,,[r3, r4, r5, r1],,[321, 1, 3, 529],,noPlanSynthesised,,22409
2,,[r3, r4, r5, r1],,[524, 5, 6, 260],,noPlanSynthesised,,22415
2,,[r3, r4, r5, r1],,[225, 2, 1, 571],,noPlanSynthesised,,22422
2,,[r3, r4, r5, r1],,[138, 2, 4, 433],,noPlanSynthesised,,22561
2,,[r3, r4, r5, r1],,[335, 1, 5, 634],,noPlanSynthesised,,22574
2,,[r3, r4, r5, r1],,[282, 6, 2, 490],,noPlanSynthesised,,22595
2,,[r3, r4, r5, r1],,[198, 2, 5, 352],,noPlanSynthesised,,22611
2,,[r3, r4, r5, r1],,[435, 5, 2, 383],,noPlanSynthesised,,22618
2,,[r3, r4, r5, r1],,[392, 6, 6, 348],,noPlanSynthesised,,22631
2,,[r3, r4, r5, r1],,[565, 6, 2, 419],,noPlanSynthesised,,22639
2,,[r3, r4, r5, r1],,[661, 2, 6, 517],,noPlanSynthesised,,22705
2,,[r3, r4, r5, r1],,[668, 3, 2, 61],,noPlanSynthesised,,22715
2,,[r3, r4, r5, r1],,[627, 1, 1, 416],,noPlanSynthesised,,22721
2,,[r3, r4, r5, r1],,[685, 3, 6, 562],,noPlanSynthesised,,22727
2,,[r3, r4, r5, r1],,[612, 1, 6, 261],,noPlanSynthesised,,22766
2,,[r3, r4, r5, r1],,[133, 6, 2, 476],,noPlanSynthesised,,22776
2,,[r3, r4, r5, r1],,[517, 2, 3, 493],,noPlanSynthesised,,22788
2,,[r3, r4, r5, r1],,[543, 5, 1, 245],,noPlanSynthesised,,22796
2,,[r3, r4, r5, r1],,[523, 6, 5, 470],,noPlanSynthesised,,22802
2,,[r3, r4, r5, r1],,[428, 6, 1, 283],,noPlanSynthesised,,22852
2,,[r3, r4, r5, r1],,[517, 1, 5, 29],,noPlanSynthesised,,22860
2,,[r3, r4, r5, r1],,[665, 6, 2, 94],,noPlanSynthesised,,22865
2,,[r3, r4, r5, r1],,[15, 6, 4, 466],,noPlanSynthesised,,22872
2,,[r3, r4, r5, r1],,[494, 1, 5, 349],,noPlanSynthesised,,22876
2,,[r3, r4, r5, r1],,[619, 5, 1, 535],,noPlanSynthesised,,22880
2,,[r3, r4, r5, r1],,[684, 2, 6, 76],,noPlanSynthesised,,22885
2,,[r3, r4, r5, r1],,[583, 3, 1, 625],,noPlanSynthesised,,22889
2,,[r3, r4, r5, r1],,[684, 3, 5, 465],,noPlanSynthesised,,22894
2,,[r3, r4, r5, r1],,[219, 6, 6, 213],,noPlanSynthesised,,22899
2,,[r3, r4, r5, r1],,[180, 2, 2, 354],,noPlanSynthesised,,23008
2,,[r3, r4, r5, r1],,[234, 2, 2, 651],,noPlanSynthesised,,23015
2,,[r3, r4, r5, r1],,[130, 6, 6, 311],,noPlanSynthesised,,23023
2,,[r3, r4, r5, r1],,[542, 3, 6, 318],,noPlanSynthesised,,23028
2,,[r3, r4, r5, r1],,[672, 4, 2, 270],,noPlanSynthesised,,23034
2,,[r3, r4, r5, r1],,[301, 2, 5, 698],,noPlanSynthesised,,23064
2,,[r3, r4, r5, r1],,[192, 3, 5, 225],,noPlanSynthesised,,23072
2,,[r3, r4, r5, r1],,[408, 6, 1, 188],,noPlanSynthesised,,23079
2,,[r3, r4, r5, r1],,[448, 5, 6, 401],,noPlanSynthesised,,23084
2,,[r3, r4, r5, r1],,[120, 1, 3, 389],,noPlanSynthesised,,23110
2,,[r3, r4, r5, r1],,[533, 2, 1, 31],,noPlanSynthesised,,23118
2,,[r3, r4, r5, r1],,[354, 5, 1, 631],,noPlanSynthesised,,23127
2,,[r3, r4, r5, r1],,[544, 4, 3, 29],,noPlanSynthesised,,23132
2,,[r3, r4, r5, r1],,[2, 3, 3, 709],,noPlanSynthesised,,23138
2,,[r3, r4, r5, r1],,[510, 5, 3, 16],,noPlanSynthesised,,23180
2,,[r3, r4, r5, r1],,[64, 2, 4, 679],,noPlanSynthesised,,23186
2,,[r3, r4, r5, r1],,[673, 4, 6, 641],,noPlanSynthesised,,23192
2,,[r3, r4, r5, r1],,[479, 6, 2, 387],,noPlanSynthesised,,23196
2,,[r3, r4, r5, r1],,[106, 5, 1, 359],,noPlanSynthesised,,23202
2,,[r3, r4, r5, r1],,[715, 4, 5, 677],,noPlanSynthesised,,23209
2,,[r3, r4, r5, r1],,[640, 1, 1, 445],,noPlanSynthesised,,23214
2,,[r3, r4, r5, r1],,[664, 3, 4, 567],,noPlanSynthesised,,23219
2,,[r3, r4, r5, r1],,[88, 4, 5, 514],,noPlanSynthesised,,23224
2,,[r3, r4, r5, r1],,[424, 4, 1, 425],,noPlanSynthesised,,23229
2,,[r3, r4, r5, r1],,[557, 4, 2, 84],,noPlanSynthesised,,23237
2,,[r3, r4, r5, r1],,[147, 3, 3, 266],,noPlanSynthesised,,23245
2,,[r3, r4, r5, r1],,[294, 1, 5, 691],,noPlanSynthesised,,23259
2,,[r3, r4, r5, r1],,[701, 2, 1, 668],,noPlanSynthesised,,23267
2,,[r3, r4, r5, r1],,[612, 1, 3, 148],,noPlanSynthesised,,23292
2,,[r3, r4, r5, r1],,[613, 6, 3, 307],,noPlanSynthesised,,23303
2,,[r3, r4, r5, r1],,[482, 1, 5, 347],,noPlanSynthesised,,23311
2,,[r3, r4, r5, r1],,[226, 2, 3, 470],,noPlanSynthesised,,23319
2,,[r3, r4, r5, r1],,[230, 6, 6, 719],,noPlanSynthesised,,23325
2,,[r3, r4, r5, r1],,[102, 1, 5, 44],,noPlanSynthesised,,23332
2,,[r3, r4, r5, r1],,[524, 3, 6, 585],,noPlanSynthesised,,23340
2,,[r3, r4, r5, r1],,[653, 4, 4, 416],,noPlanSynthesised,,23345
2,,[r3, r4, r5, r1],,[31, 3, 2, 532],,noPlanSynthesised,,23374
2,,[r3, r4, r5, r1],,[188, 4, 2, 238],,noPlanSynthesised,,23379
2,,[r3, r4, r5, r1],,[498, 3, 1, 462],,noPlanSynthesised,,23416
2,,[r3, r4, r5, r1],,[355, 3, 2, 627],,noPlanSynthesised,,23422
2,,[r3, r4, r5, r1],,[688, 5, 1, 165],,noPlanSynthesised,,23429
2,,[r3, r4, r5, r1],,[141, 6, 5, 143],,noPlanSynthesised,,23435
2,,[r3, r4, r5, r1],,[641, 5, 3, 715],,noPlanSynthesised,,23441
2,,[r3, r4, r5, r1],,[701, 5, 3, 38],,noPlanSynthesised,,23463
2,,[r3, r4, r5, r1],,[38, 5, 4, 2],,noPlanSynthesised,,23469
2,,[r3, r4, r5, r1],,[225, 3, 4, 250],,noPlanSynthesised,,23476
2,,[r3, r4, r5, r1],,[202, 5, 6, 432],,noPlanSynthesised,,23482
2,,[r3, r4, r5, r1],,[528, 5, 5, 114],,noPlanSynthesised,,23492
2,,[r3, r4, r5, r1],,[384, 2, 3, 124],,noPlanSynthesised,,23499
2,,[r3, r4, r5, r1],,[221, 6, 4, 23],,noPlanSynthesised,,23506
2,,[r3, r4, r5, r1],,[73, 2, 6, 174],,noPlanSynthesised,,23519
2,,[r3, r4, r5, r1],,[675, 3, 5, 593],,noPlanSynthesised,,23534
2,,[r3, r4, r5, r1],,[413, 4, 4, 210],,noPlanSynthesised,,23542
2,,[r3, r4, r5, r1],,[88, 2, 3, 141],,noPlanSynthesised,,23545
2,,[r3, r4, r5, r1],,[30, 4, 6, 53],,noPlanSynthesised,,23587
2,,[r3, r4, r5, r1],,[204, 5, 5, 505],,noPlanSynthesised,,23591
2,,[r3, r4, r5, r1],,[138, 4, 4, 230],,noPlanSynthesised,,23679
2,,[r3, r4, r5, r1],,[169, 3, 5, 710],,noPlanSynthesised,,23685
2,,[r3, r4, r5, r1],,[376, 5, 2, 230],,noPlanSynthesised,,23699
2,,[r3, r4, r5, r1],,[130, 3, 6, 21],,noPlanSynthesised,,23708
2,,[r3, r4, r5, r1],,[55, 2, 6, 328],,noPlanSynthesised,,23737
2,,[r3, r4, r5, r1],,[661, 1, 6, 538],,noPlanSynthesised,,23769
2,,[r3, r4, r5, r1],,[196, 1, 1, 161],,noPlanSynthesised,,23773
3,,[r3, r4, r5, r1],,[35, 6, 2, 4412],,noPlanSynthesised,,23862
3,,[r3, r4, r5, r1],,[106, 3, 4, 3672],,noPlanSynthesised,,23906
3,,[r3, r4, r5, r1],,[69, 5, 3, 1602],,noPlanSynthesised,,23940
3,,[r3, r4, r5, r1],,[57, 1, 5, 3863],,noPlanSynthesised,,24015
3,,[r3, r4, r5, r1],,[78, 1, 3, 3031],,noPlanSynthesised,,24056
3,,[r3, r4, r5, r1],,[65, 4, 1, 4295],,noPlanSynthesised,,24126
3,,[r3, r4, r5, r1],,[13, 5, 3, 1366],,noPlanSynthesised,,24162
3,,[r3, r4, r5, r1],,[110, 4, 5, 3319],,noPlanSynthesised,,24225
3,,[r3, r4, r5, r1],,[89, 2, 3, 1053],,noPlanSynthesised,,24255
3,,[r3, r4, r5, r1],,[99, 2, 5, 262],,noPlanSynthesised,,24286
3,,[r3, r4, r5, r1],,[85, 4, 5, 222],,noPlanSynthesised,,24317
3,,[r3, r4, r5, r1],,[57, 4, 6, 260],,noPlanSynthesised,,24343
3,,[r3, r4, r5, r1],,[35, 3, 3, 4729],,noPlanSynthesised,,24375
3,,[r3, r4, r5, r1],,[79, 1, 1, 4661],,noPlanSynthesised,,24643
3,,[r3, r4, r5, r1],,[107, 2, 6, 1587],,noPlanSynthesised,,24674
3,,[r3, r4, r5, r1],,[8, 2, 2, 1869],,noPlanSynthesised,,24703
3,,[r3, r4, r5, r1],,[51, 2, 2, 1202],,noPlanSynthesised,,24740
3,,[r3, r4, r5, r1],,[98, 5, 6, 948],,noPlanSynthesised,,24815
3,,[r3, r4, r5, r1],,[61, 6, 5, 574],,noPlanSynthesised,,24946
3,,[r3, r4, r5, r1],,[107, 6, 1, 1410],,noPlanSynthesised,,24974
3,,[r3, r4, r5, r1],,[78, 1, 6, 1121],,noPlanSynthesised,,25004
3,,[r3, r4, r5, r1],,[76, 2, 5, 964],,noPlanSynthesised,,25070
3,,[r3, r4, r5, r1],,[114, 5, 6, 1495],,noPlanSynthesised,,25133
3,,[r3, r4, r5, r1],,[63, 1, 3, 2565],,noPlanSynthesised,,25174
3,,[r3, r4, r5, r1],,[75, 3, 1, 1951],,noPlanSynthesised,,25208
3,,[r3, r4, r5, r1],,[115, 3, 5, 4037],,noPlanSynthesised,,25251
3,,[r3, r4, r5, r1],,[113, 3, 6, 2039],,noPlanSynthesised,,25285
3,,[r3, r4, r5, r1],,[116, 4, 1, 3813],,noPlanSynthesised,,25337
3,,[r3, r4, r5, r1],,[57, 5, 5, 3203],,noPlanSynthesised,,25354
3,,[r3, r4, r5, r1],,[85, 4, 2, 1688],,noPlanSynthesised,,25407
3,,[r3, r4, r5, r1],,[48, 6, 1, 4406],,noPlanSynthesised,,25468
3,,[r3, r4, r5, r1],,[63, 2, 6, 4868],,noPlanSynthesised,,25508
3,,[r3, r4, r5, r1],,[47, 3, 6, 1062],,noPlanSynthesised,,25537
3,,[r3, r4, r5, r1],,[49, 5, 4, 4398],,noPlanSynthesised,,25559
3,,[r3, r4, r5, r1],,[62, 5, 3, 2972],,noPlanSynthesised,,25578
3,,[r3, r4, r5, r1],,[72, 5, 3, 2545],,noPlanSynthesised,,25675
3,,[r3, r4, r5, r1],,[10, 5, 4, 3985],,noPlanSynthesised,,25714
3,,[r3, r4, r5, r1],,[109, 4, 2, 1895],,noPlanSynthesised,,25745
3,,[r3, r4, r5, r1],,[12, 1, 2, 2349],,noPlanSynthesised,,26582
3,,[r3, r4, r5, r1],,[2, 6, 1, 1469],,noPlanSynthesised,,26635
3,,[r3, r4, r5, r1],,[1, 4, 1, 3699],,noPlanSynthesised,,26703
3,,[r3, r4, r5, r1],,[87, 6, 2, 4449],,noPlanSynthesised,,26736
3,,[r3, r4, r5, r1],,[58, 4, 5, 4169],,noPlanSynthesised,,26752
3,,[r3, r4, r5, r1],,[52, 3, 1, 3745],,noPlanSynthesised,,26784
3,,[r3, r4, r5, r1],,[1, 1, 5, 195],,noPlanSynthesised,,26814
3,,[r3, r4, r5, r1],,[7, 3, 1, 1953],,noPlanSynthesised,,26848
3,,[r3, r4, r5, r1],,[89, 5, 4, 1494],,noPlanSynthesised,,26878
3,,[r3, r4, r5, r1],,[103, 2, 3, 2871],,noPlanSynthesised,,26910
3,,[r3, r4, r5, r1],,[118, 6, 6, 8],,noPlanSynthesised,,26938
3,,[r3, r4, r5, r1],,[24, 2, 2, 3179],,noPlanSynthesised,,26966
3,,[r3, r4, r5, r1],,[47, 6, 3, 531],,noPlanSynthesised,,26990
3,,[r3, r4, r5, r1],,[59, 1, 6, 4294],,noPlanSynthesised,,27028
3,,[r3, r4, r5, r1],,[21, 2, 2, 3105],,noPlanSynthesised,,27084
3,,[r3, r4, r5, r1],,[55, 1, 6, 1174],,noPlanSynthesised,,27128
3,,[r3, r4, r5, r1],,[35, 4, 3, 641],,noPlanSynthesised,,27183
3,,[r3, r4, r5, r1],,[117, 3, 2, 3224],,noPlanSynthesised,,27207
3,,[r3, r4, r5, r1],,[29, 2, 6, 4608],,noPlanSynthesised,,27231
3,,[r3, r4, r5, r1],,[109, 6, 4, 1964],,noPlanSynthesised,,27256
3,,[r3, r4, r5, r1],,[67, 1, 5, 3521],,noPlanSynthesised,,27281
3,,[r3, r4, r5, r1],,[91, 1, 5, 1045],,noPlanSynthesised,,27312
3,,[r3, r4, r5, r1],,[5, 6, 5, 2917],,noPlanSynthesised,,27338
3,,[r3, r4, r5, r1],,[14, 2, 4, 3654],,noPlanSynthesised,,27371
3,,[r3, r4, r5, r1],,[22, 3, 6, 4483],,noPlanSynthesised,,27430
3,,[r3, r4, r5, r1],,[37, 1, 3, 1557],,noPlanSynthesised,,27508
3,,[r3, r4, r5, r1],,[18, 1, 5, 3281],,noPlanSynthesised,,27530
3,,[r3, r4, r5, r1],,[2, 6, 5, 4170],,noPlanSynthesised,,27557
3,,[r3, r4, r5, r1],,[1, 5, 5, 4808],,noPlanSynthesised,,27591
3,,[r3, r4, r5, r1],,[32, 3, 3, 3937],,noPlanSynthesised,,27616
3,,[r3, r4, r5, r1],,[92, 5, 4, 3427],,noPlanSynthesised,,27645
3,,[r3, r4, r5, r1],,[39, 3, 1, 451],,noPlanSynthesised,,27675
3,,[r3, r4, r5, r1],,[37, 6, 5, 240],,noPlanSynthesised,,27716
3,,[r3, r4, r5, r1],,[20, 6, 5, 1361],,noPlanSynthesised,,27755
3,,[r3, r4, r5, r1],,[33, 2, 6, 4893],,noPlanSynthesised,,27784
3,,[r3, r4, r5, r1],,[107, 3, 2, 537],,noPlanSynthesised,,27799
3,,[r3, r4, r5, r1],,[78, 3, 6, 1963],,noPlanSynthesised,,27823
3,,[r3, r4, r5, r1],,[31, 5, 6, 462],,noPlanSynthesised,,27874
3,,[r3, r4, r5, r1],,[71, 3, 1, 46],,noPlanSynthesised,,27895
3,,[r3, r4, r5, r1],,[94, 4, 2, 979],,noPlanSynthesised,,27921
3,,[r3, r4, r5, r1],,[61, 2, 5, 4155],,noPlanSynthesised,,27973
3,,[r3, r4, r5, r1],,[95, 5, 1, 4976],,noPlanSynthesised,,28007
3,,[r3, r4, r5, r1],,[5, 6, 2, 4089],,noPlanSynthesised,,28065
3,,[r3, r4, r5, r1],,[85, 3, 6, 347],,noPlanSynthesised,,28105
3,,[r3, r4, r5, r1],,[118, 4, 6, 848],,noPlanSynthesised,,28139
3,,[r3, r4, r5, r1],,[27, 1, 3, 3632],,noPlanSynthesised,,28163
3,,[r3, r4, r5, r1],,[97, 5, 2, 1580],,noPlanSynthesised,,28185
3,,[r3, r4, r5, r1],,[71, 2, 1, 3594],,noPlanSynthesised,,28214
3,,[r3, r4, r5, r1],,[57, 4, 2, 3130],,noPlanSynthesised,,28235
3,,[r3, r4, r5, r1],,[17, 5, 6, 2742],,noPlanSynthesised,,28295
3,,[r3, r4, r5, r1],,[42, 6, 6, 1304],,noPlanSynthesised,,28346
3,,[r3, r4, r5, r1],,[10, 3, 6, 150],,noPlanSynthesised,,28390
3,,[r3, r4, r5, r1],,[116, 3, 5, 2729],,noPlanSynthesised,,28422
3,,[r3, r4, r5, r1],,[39, 2, 5, 1468],,noPlanSynthesised,,28452
3,,[r3, r4, r5, r1],,[103, 3, 1, 1727],,noPlanSynthesised,,28496
3,,[r3, r4, r5, r1],,[22, 5, 5, 3162],,noPlanSynthesised,,28537
3,,[r3, r4, r5, r1],,[110, 1, 4, 2975],,noPlanSynthesised,,28583
3,,[r3, r4, r5, r1],,[30, 6, 6, 296],,noPlanSynthesised,,28609
3,,[r3, r4, r5, r1],,[6, 5, 4, 2144],,noPlanSynthesised,,28646
3,,[r3, r4, r5, r1],,[72, 3, 4, 846],,noPlanSynthesised,,28668
3,,[r3, r4, r5, r1],,[117, 6, 3, 2811],,noPlanSynthesised,,28702
4,,[r3, r4, r5, r1],,[65, 6, 5, 1508],,noPlanSynthesised,,28818
4,,[r3, r4, r5, r1],,[61, 5, 6, 3228],,noPlanSynthesised,,28867
4,,[r3, r4, r5, r1],,[55, 4, 5, 2825],,noPlanSynthesised,,28904
4,,[r3, r4, r5, r1],,[32, 6, 4, 2814],,noPlanSynthesised,,28947
4,,[r3, r4, r5, r1],,[50, 3, 2, 3177],,noPlanSynthesised,,28987
4,,[r3, r4, r5, r1],,[27, 6, 1, 3651],,noPlanSynthesised,,29029
4,,[r3, r4, r5, r1],,[10, 2, 3, 3285],,noPlanSynthesised,,29098
4,,[r3, r4, r5, r1],,[101, 6, 3, 4250],,noPlanSynthesised,,29139
4,,[r3, r4, r5, r1],,[53, 2, 2, 2175],,noPlanSynthesised,,29164
4,,[r3, r4, r5, r1],,[22, 5, 6, 150],,noPlanSynthesised,,29194
4,,[r3, r4, r5, r1],,[63, 3, 3, 3018],,noPlanSynthesised,,29243
4,,[r3, r4, r5, r1],,[2, 4, 4, 3629],,noPlanSynthesised,,29267
4,,[r3, r4, r5, r1],,[89, 2, 1, 1053],,noPlanSynthesised,,29286
