alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[1, 102, 5, 5, 1431],,noPlanSynthesised,,5040
1,,[r2, r3, r4, r5, r1],,[3, 120, 1, 5, 4490],,noPlanSynthesised,,5917
1,,[r2, r3, r4, r5, r1],,[4, 22, 4, 2, 1926],,noPlanSynthesised,,7420
1,,[r2, r3, r4, r5, r1],,[2, 20, 3, 5, 771],,noPlanSynthesised,,9311
1,,[r2, r3, r4, r5, r1],,[6, 72, 3, 1, 2482],,noPlanSynthesised,,10196
1,,[r2, r3, r4, r5, r1],,[1, 27, 1, 4, 1398],,noPlanSynthesised,,11416
1,,[r2, r3, r4, r5, r1],,[1, 6, 1, 1, 3555],,noPlanSynthesised,,12498
1,,[r2, r3, r4, r5, r1],,[1, 77, 3, 1, 814],,noPlanSynthesised,,13550
1,,[r2, r3, r4, r5, r1],,[1, 38, 3, 1, 2900],,noPlanSynthesised,,14714
1,,[r2, r3, r4, r5, r1],,[4, 96, 3, 6, 4986],,noPlanSynthesised,,16032
1,,[r2, r3, r4, r5, r1],,[3, 58, 6, 1, 970],,noPlanSynthesised,,16924
1,,[r2, r3, r4, r5, r1],,[3, 100, 1, 2, 4],,noPlanSynthesised,,17732
1,,[r2, r3, r4, r5, r1],,[4, 73, 1, 5, 1862],,noPlanSynthesised,,18821
1,,[r2, r3, r4, r5, r1],,[4, 18, 3, 3, 1006],,noPlanSynthesised,,19934
1,,[r2, r3, r4, r5, r1],,[4, 96, 6, 1, 2017],,noPlanSynthesised,,21226
1,,[r2, r3, r4, r5, r1],,[1, 101, 6, 6, 2447],,noPlanSynthesised,,23136
1,,[r2, r3, r4, r5, r1],,[5, 52, 2, 3, 1458],,noPlanSynthesised,,24403
1,,[r2, r3, r4, r5, r1],,[6, 91, 4, 6, 4805],,noPlanSynthesised,,25157
1,,[r2, r3, r4, r5, r1],,[4, 84, 2, 2, 4003],,noPlanSynthesised,,26899
1,,[r2, r3, r4, r5, r1],,[4, 41, 5, 4, 1169],,noPlanSynthesised,,28035
1,,[r2, r3, r4, r5, r1],,[4, 64, 4, 4, 4167],,noPlanSynthesised,,29397
1,,[r2, r3, r4, r5, r1],,[2, 28, 6, 5, 2688],,noPlanSynthesised,,30420
1,,[r2, r3, r4, r5, r1],,[1, 29, 6, 6, 2068],,noPlanSynthesised,,31397
1,,[r2, r3, r4, r5, r1],,[6, 78, 2, 3, 2589],,noPlanSynthesised,,32211
1,,[r2, r3, r4, r5, r1],,[1, 42, 6, 6, 4932],,noPlanSynthesised,,33985
1,,[r2, r3, r4, r5, r1],,[6, 8, 6, 4, 2921],,noPlanSynthesised,,34774
1,,[r2, r3, r4, r5, r1],,[1, 89, 2, 6, 3713],,noPlanSynthesised,,35742
1,,[r2, r3, r4, r5, r1],,[3, 89, 2, 5, 4257],,noPlanSynthesised,,36647
1,,[r2, r3, r4, r5, r1],,[2, 105, 3, 5, 2100],,noPlanSynthesised,,37674
1,,[r2, r3, r4, r5, r1],,[2, 75, 1, 5, 4065],,noPlanSynthesised,,38551
1,,[r2, r3, r4, r5, r1],,[5, 96, 4, 6, 2978],,noPlanSynthesised,,41195
1,,[r2, r3, r4, r5, r1],,[6, 101, 2, 5, 992],,noPlanSynthesised,,42092
1,,[r2, r3, r4, r5, r1],,[2, 53, 6, 6, 4567],,noPlanSynthesised,,43887
1,,[r2, r3, r4, r5, r1],,[5, 92, 1, 1, 516],,noPlanSynthesised,,45252
1,,[r2, r3, r4, r5, r1],,[2, 71, 3, 4, 1277],,noPlanSynthesised,,47195
1,,[r2, r3, r4, r5, r1],,[1, 59, 3, 1, 972],,noPlanSynthesised,,48219
1,,[r2, r3, r4, r5, r1],,[3, 58, 3, 2, 4344],,noPlanSynthesised,,49119
1,,[r2, r3, r4, r5, r1],,[4, 51, 2, 1, 488],,noPlanSynthesised,,50269
1,,[r2, r3, r4, r5, r1],,[4, 84, 2, 6, 2279],,noPlanSynthesised,,53108
1,,[r2, r3, r4, r5, r1],,[5, 101, 1, 4, 3458],,noPlanSynthesised,,54613
1,,[r2, r3, r4, r5, r1],,[5, 99, 3, 5, 752],,noPlanSynthesised,,56532
1,,[r2, r3, r4, r5, r1],,[1, 57, 2, 6, 4613],,noPlanSynthesised,,57391
