alloc,,robots,,permut,,attr,,time   (maxSucc value=prob. of failing times 100)
46,,[r2, r3, r1],,(984677321,347,1314152833),,{maxSucc=36.86405315973412, minTravel=770.0},,5951913
46,,[r2, r3, r1],,(927459966,511,315140477),,{maxSucc=36.864053159734134, minTravel=650.0},,5967546
47,,[r2, r3, r1],,(195163172,691,162719332),,{maxSucc=36.86405315973412, minTravel=693.0},,6127496
47,,[r2, r3, r1],,(25433034,318,807245491),,{maxSucc=36.864053159734134, minTravel=658.0},,6205472
48,,[r2, r3, r1],,(264281418,413,1328083678),,{maxSucc=36.86405315973412, minTravel=728.0},,6244513
48,,[r2, r3, r1],,(844653576,681,19541036),,{maxSucc=36.864053159734134, minTravel=676.0},,6287676
49,,[r2, r3, r1],,(1775828813,466,1880230198),,{maxSucc=36.86405315973412, minTravel=715.0},,6371919
49,,[r2, r3, r1],,(498468046,463,626454678),,{maxSucc=36.864053159734134, minTravel=650.0},,6438953
50,,[r2, r3, r1],,(483442787,548,1171918685),,{maxSucc=36.864053159734134, minTravel=702.0},,6507669
50,,[r2, r3, r1],,(1580782410,152,1547150843),,{maxSucc=36.86405315973412, minTravel=738.0},,6538494
51,,[r2, r3, r1],,(1183196135,644,170010625),,{maxSucc=36.86405315973412, minTravel=708.0},,6606606
51,,[r2, r3, r1],,(530799389,120,1606332170),,{maxSucc=36.864053159734134, minTravel=670.0},,6664002
52,,[r2, r3, r1],,(342062124,655,1907016156),,{maxSucc=36.864053159734134, minTravel=655.0},,6738085
52,,[r2, r3, r1],,(1101715172,279,819551288),,{maxSucc=36.86405315973412, minTravel=701.0},,6763999
53,,[r2, r3, r1],,(928975119,225,1909814533),,{maxSucc=36.86405315973412, minTravel=689.0},,6902223
53,,[r2, r3, r1],,(743423246,644,1544925961),,{maxSucc=36.864053159734134, minTravel=657.0},,6948596
54,,[r2, r3, r1],,(259185322,3,1866728706),,{maxSucc=36.86405315973412, minTravel=670.0},,7011139
55,,[r2, r3, r1],,(1915999125,572,1297834163),,{maxSucc=36.86405315973412, minTravel=716.0},,7200614
55,,[r2, r3, r1],,(1242292869,540,1763083749),,{maxSucc=36.864053159734134, minTravel=665.0},,7210887
56,,[r2, r3, r1],,(1305323527,681,1000239232),,{maxSucc=36.86405315973412, minTravel=722.0},,7290438
57,,[r2, r3, r1],,(881150172,337,1042962563),,{maxSucc=36.864053159734134, minTravel=624.0},,7380038
57,,[r2, r3, r1],,(520682973,650,827202110),,{maxSucc=36.86405315973412, minTravel=710.0},,7445944
58,,[r2, r3, r1],,(1463136288,605,1615208760),,{maxSucc=36.864053159734134, minTravel=628.0},,7505846
58,,[r2, r3, r1],,(309338164,666,1878289610),,{maxSucc=36.86405315973412, minTravel=822.0},,7591533
59,,[r2, r3, r1],,(174940729,571,1226504037),,{maxSucc=36.86405315973412, minTravel=672.0},,7673323
60,,[r2, r3, r1],,(402569097,451,1898299082),,{maxSucc=36.86405315973412, minTravel=681.0},,7764272
60,,[r2, r3, r1],,(191441598,141,1378137401),,{maxSucc=36.864053159734134, minTravel=630.0},,7794402
61,,[r2, r3, r1],,(516991153,526,1932881362),,{maxSucc=36.864053159734134, minTravel=700.0},,7979586
61,,[r2, r3, r1],,(116008936,327,1425572282),,{maxSucc=36.86405315973412, minTravel=709.0},,8002025
62,,[r2, r3, r1],,(1535284144,570,40884126),,{maxSucc=36.864053159734134, minTravel=650.0},,8035135
62,,[r2, r3, r1],,(1107737981,318,877406584),,{maxSucc=36.86405315973412, minTravel=708.0},,8111095
63,,[r2, r3, r1],,(1086204446,348,410690777),,{maxSucc=36.864053159734134, minTravel=607.0},,8198245
63,,[r2, r3, r1],,(622791032,83,599964786),,{maxSucc=36.86405315973412, minTravel=787.0},,8200842
64,,[r2, r3, r1],,(1574182307,209,1864335756),,{maxSucc=36.86405315973412, minTravel=729.0},,8325613
64,,[r2, r3, r1],,(1431247490,649,1886971644),,{maxSucc=36.864053159734134, minTravel=599.0},,8371582
65,,[r2, r3, r1],,(1949789754,281,2000223206),,{maxSucc=36.86405315973412, minTravel=760.0},,8401439
65,,[r2, r3, r1],,(1383169743,46,19722475),,{maxSucc=36.864053159734134, minTravel=650.0},,8441974
66,,[r2, r3, r1],,(745556573,298,1648718866),,{maxSucc=36.86405315973412, minTravel=596.0},,8639773
67,,[r2, r3, r1],,(624588110,114,970232317),,{maxSucc=36.864053159734134, minTravel=662.0},,8722206
67,,[r2, r3, r1],,(1530669365,654,207912234),,{maxSucc=36.86405315973412, minTravel=747.0},,8740151
68,,[r2, r3, r1],,(1519126172,483,1498005675),,{maxSucc=36.86405315973412, minTravel=673.0},,8812082
68,,[r2, r3, r1],,(1605716682,427,638999993),,{maxSucc=36.864053159734134, minTravel=631.0},,8898994
69,,[r2, r3, r1],,(227682563,42,1162151187),,{maxSucc=36.864053159734134, minTravel=673.0},,8939296
69,,[r2, r3, r1],,(991418668,409,1037398720),,{maxSucc=36.86405315973412, minTravel=735.0},,8977153
70,,[r2, r3, r1],,(327432890,223,218940014),,{maxSucc=36.86405315973412, minTravel=768.0},,9049571
70,,[r2, r3, r1],,(1333591234,395,217654776),,{maxSucc=36.864053159734134, minTravel=680.0},,9087662
70,,[r2, r3, r1],,(1884891267,244,637316585),,{maxSucc=36.864053159734155, minTravel=678.0},,9092779
71,,[r2, r3, r1],,(348934570,362,1297933705),,{maxSucc=36.86405315973412, minTravel=691.0},,9185210
71,,[r2, r3, r1],,(1885151550,445,1228397163),,{maxSucc=36.864053159734134, minTravel=583.0},,9282372
72,,[r2, r3, r1],,(219713965,181,978026452),,{maxSucc=36.864053159734134, minTravel=672.0},,9401943
72,,[r2, r3, r1],,(660024329,590,764800977),,{maxSucc=36.86405315973412, minTravel=748.0},,9419995
73,,[r2, r3, r1],,(609536089,66,1526833223),,{maxSucc=36.86405315973412, minTravel=704.0},,9468556
73,,[r2, r3, r1],,(1668792365,285,1296121491),,{maxSucc=36.864053159734134, minTravel=631.0},,9549059
74,,[r2, r3, r1],,(263811362,92,235777929),,{maxSucc=36.86405315973412, minTravel=748.0},,9572019
74,,[r2, r3, r1],,(99252103,133,1682523277),,{maxSucc=36.864053159734134, minTravel=604.0},,9588076
75,,[r2, r3, r1],,(1993638948,439,504072945),,{maxSucc=36.86405315973412, minTravel=724.0},,9742307
75,,[r2, r3, r1],,(1833157086,165,785947289),,{maxSucc=36.864053159734134, minTravel=669.0},,9782586
76,,[r2, r3, r1],,(506625302,197,335339453),,{maxSucc=36.864053159734134, minTravel=636.0},,9851816
76,,[r2, r3, r1],,(217594748,502,145874486),,{maxSucc=36.86405315973412, minTravel=726.0},,9857009
77,,[r2, r3, r1],,(921932095,20,279494334),,{maxSucc=36.86405315973415, minTravel=661.0},,9952071
77,,[r2, r3, r1],,(1685871335,38,5282010),,{maxSucc=36.864053159734134, minTravel=680.0},,10056741
77,,[r2, r3, r1],,(1784314054,589,1608636816),,{maxSucc=36.86405315973412, minTravel=708.0},,10069261
78,,[r2, r3, r1],,(1867604998,593,135953595),,{maxSucc=36.86405315973412, minTravel=671.0},,10076582
78,,[r2, r3, r1],,(904614438,158,1255141809),,{maxSucc=36.864053159734134, minTravel=601.0},,10159825
79,,[r2, r3, r1],,(1970880778,303,1695209209),,{maxSucc=36.864053159734134, minTravel=641.0},,10215176
79,,[r2, r3, r1],,(1700876786,413,779192689),,{maxSucc=36.86405315973412, minTravel=664.0},,10217793
80,,[r2, r3, r1],,(858982787,140,1757703666),,{maxSucc=36.864053159734134, minTravel=640.0},,10409129
80,,[r2, r3, r1],,(770966690,554,1888369014),,{maxSucc=36.86405315973412, minTravel=673.0},,10419481
81,,[r2, r3, r1],,(789310507,718,1586192613),,{maxSucc=36.864053159734134, minTravel=656.0},,10459418
81,,[r2, r3, r1],,(1079508997,682,199544429),,{maxSucc=36.86405315973412, minTravel=730.0},,10479274
82,,[r2, r3, r1],,(555280015,297,1179803195),,{maxSucc=36.864053159734134, minTravel=636.0},,10641121
82,,[r2, r3, r1],,(1300351396,72,1431670818),,{maxSucc=36.86405315973412, minTravel=670.0},,10707869
83,,[r2, r3, r1],,(660041068,179,1229776565),,{maxSucc=36.86405315973412, minTravel=735.0},,10759687
83,,[r2, r3, r1],,(1605702150,465,1719886631),,{maxSucc=36.864053159734134, minTravel=649.0},,10824941
84,,[r2, r3, r1],,(221764164,453,1540288942),,{maxSucc=36.86405315973412, minTravel=743.0},,10938408
84,,[r2, r3, r1],,(1156000130,368,369141525),,{maxSucc=36.864053159734134, minTravel=658.0},,10948451
85,,[r2, r3, r1],,(896954226,88,1217998785),,{maxSucc=36.86405315973412, minTravel=702.0},,11000171
85,,[r2, r3, r1],,(10937806,536,1215833252),,{maxSucc=36.864053159734134, minTravel=670.0},,11089952
86,,[r2, r3, r1],,(1466479004,404,1240520187),,{maxSucc=36.864053159734134, minTravel=647.0},,11116756
86,,[r2, r3, r1],,(1417148299,172,533100870),,{maxSucc=36.86405315973412, minTravel=741.0},,11157834
87,,[r2, r3, r1],,(302309059,140,983519531),,{maxSucc=36.86405315973412, minTravel=752.0},,11294553
87,,[r2, r3, r1],,(1720735771,271,1066961333),,{maxSucc=36.864053159734134, minTravel=644.0},,11334414
88,,[r2, r3, r1],,(658545491,410,26675227),,{maxSucc=36.86405315973415, minTravel=660.0},,11412029
88,,[r2, r3, r1],,(447758386,187,439995321),,{maxSucc=36.86405315973412, minTravel=757.0},,11424675
88,,[r2, r3, r1],,(1224155103,35,550974991),,{maxSucc=36.864053159734134, minTravel=681.0},,11509091
89,,[r2, r3, r1],,(772333433,204,25712334),,{maxSucc=36.86405315973412, minTravel=746.0},,11522016
89,,[r2, r3, r1],,(170638823,98,1827270590),,{maxSucc=36.86405315973415, minTravel=627.0},,11565284
89,,[r2, r3, r1],,(1769385607,275,1349098131),,{maxSucc=36.864053159734134, minTravel=658.0},,11636340
90,,[r2, r3, r1],,(516032931,461,1130692132),,{maxSucc=36.86405315973415, minTravel=642.0},,11674207
90,,[r2, r3, r1],,(117087560,253,1836843954),,{maxSucc=36.86405315973412, minTravel=654.0},,11703304
90,,[r2, r3, r1],,(51318622,211,838898501),,{maxSucc=36.864053159734134, minTravel=653.0},,11720214
91,,[r2, r3, r1],,(1488497628,115,1997686156),,{maxSucc=36.86405315973412, minTravel=662.0},,11826286
92,,[r2, r3, r1],,(33014819,213,1056704186),,{maxSucc=36.86405315973412, minTravel=693.0},,11896443
