alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r1],,[5505825, 435, 1440812886],,probSuccessViolated,,12698
1,,[r2, r3, r1],,[1542900668, 57, 319892434],,probSuccessViolated,,26337
1,,[r2, r3, r1],,[1473015786, 198, 1980723092],,noPlanSynthesised,,28507
1,,[r2, r3, r1],,[832427832, 104, 751647786],,probSuccessViolated,,31170
1,,[r2, r3, r1],,[133107358, 260, 1450287209],,probSuccessViolated,,33597
1,,[r2, r3, r1],,[649590541, 220, 579934161],,probSuccessViolated,,36015
1,,[r2, r3, r1],,[1270731711, 264, 76032628],,probSuccessViolated,,39439
1,,[r2, r3, r1],,[1721316197, 477, 1748356743],,probSuccessViolated,,42785
1,,[r2, r3, r1],,[1352224594, 195, 570683079],,probSuccessViolated,,45711
1,,[r2, r3, r1],,[141333921, 470, 797952589],,probSuccessViolated,,48591
1,,[r2, r3, r1],,[1773164450, 655, 58859975],,probSuccessViolated,,51474
1,,[r2, r3, r1],,[1022179897, 426, 336325483],,probSuccessViolated,,55021
1,,[r2, r3, r1],,[708875227, 622, 1943617986],,probSuccessViolated,,58992
1,,[r2, r3, r1],,[997542726, 710, 1588481695],,probSuccessViolated,,66621
1,,[r2, r3, r1],,[1794431597, 490, 325355004],,probSuccessViolated,,72746
1,,[r2, r3, r1],,[332836024, 544, 446891791],,probSuccessViolated,,83436
1,,[r2, r3, r1],,[1575903754, 99, 763516654],,probSuccessViolated,,86587
1,,[r2, r3, r1],,[1468607202, 607, 1716750849],,probSuccessViolated,,89711
1,,[r2, r3, r1],,[1059706132, 717, 971789415],,probSuccessViolated,,104977
1,,[r2, r3, r1],,[783804170, 339, 603964110],,probSuccessViolated,,108026
1,,[r2, r3, r1],,[882189626, 625, 167120109],,probSuccessViolated,,116596
1,,[r2, r3, r1],,[902588660, 336, 190757737],,probSuccessViolated,,122593
1,,[r2, r3, r1],,[48501298, 305, 1421328606],,noPlanSynthesised,,124308
1,,[r2, r3, r1],,[192973903, 101, 29571326],,probSuccessViolated,,126993
1,,[r2, r3, r1],,[645749422, 673, 1778384203],,noPlanSynthesised,,131382
1,,[r2, r3, r1],,[1540786820, 111, 1230645382],,probSuccessViolated,,134216
1,,[r2, r3, r1],,[1632601384, 704, 294320666],,probSuccessViolated,,136921
1,,[r2, r3, r1],,[570100528, 536, 1137883610],,probSuccessViolated,,142174
1,,[r2, r3, r1],,[262143971, 378, 1615452322],,probSuccessViolated,,144722
1,,[r2, r3, r1],,[1538918310, 404, 874484331],,probSuccessViolated,,148314
1,,[r2, r3, r1],,[653823611, 216, 345715053],,probSuccessViolated,,154125
1,,[r2, r3, r1],,[1157231390, 356, 352510018],,probSuccessViolated,,159534
2,,[r2, r3, r1],,[1052705836, 604, 1189303643],,probSuccessViolated,,165154
2,,[r2, r3, r1],,[1688462124, 650, 1279208706],,probSuccessViolated,,167537
2,,[r2, r3, r1],,[842421251, 701, 1240177040],,probSuccessViolated,,170018
2,,[r2, r3, r1],,[817346877, 470, 620966483],,probSuccessViolated,,173925
2,,[r2, r3, r1],,[376644999, 695, 1660331154],,probSuccessViolated,,179400
2,,[r2, r3, r1],,[885224057, 464, 388724111],,probSuccessViolated,,184365
2,,[r2, r3, r1],,[910130046, 57, 1604123186],,probSuccessViolated,,187794
2,,[r2, r3, r1],,[963306185, 220, 1837509767],,probSuccessViolated,,190596
2,,[r2, r3, r1],,[757105342, 46, 1512930970],,probSuccessViolated,,193720
2,,[r2, r3, r1],,[906114599, 100, 1273067525],,probSuccessViolated,,196193
2,,[r2, r3, r1],,[725640103, 94, 1740245174],,probSuccessViolated,,198667
2,,[r2, r3, r1],,[659908964, 635, 62862584],,probSuccessViolated,,201116
2,,[r2, r3, r1],,[532826752, 35, 428458229],,probSuccessViolated,,203672
2,,[r2, r3, r1],,[37111868, 137, 614109695],,probSuccessViolated,,206112
2,,[r2, r3, r1],,[141394655, 326, 235639004],,probSuccessViolated,,208683
2,,[r2, r3, r1],,[955057551, 343, 1171509958],,probSuccessViolated,,211327
2,,[r2, r3, r1],,[1838841730, 62, 1397481829],,probSuccessViolated,,213544
2,,[r2, r3, r1],,[640206981, 692, 1873038924],,probSuccessViolated,,216003
2,,[r2, r3, r1],,[569470163, 514, 546344575],,probSuccessViolated,,218254
2,,[r2, r3, r1],,[1172046989, 588, 1241972750],,probSuccessViolated,,220930
2,,[r2, r3, r1],,[392915838, 364, 1102345433],,probSuccessViolated,,223602
2,,[r2, r3, r1],,[462573666, 317, 1217929867],,probSuccessViolated,,226042
2,,[r2, r3, r1],,[1211555682, 568, 1486921132],,probSuccessViolated,,228623
2,,[r2, r3, r1],,[1179002348, 289, 1782005810],,probSuccessViolated,,231314
2,,[r2, r3, r1],,[885467619, 319, 1205211330],,probSuccessViolated,,234397
2,,[r2, r3, r1],,[582002505, 31, 163895305],,probSuccessViolated,,237310
2,,[r2, r3, r1],,[1044335110, 469, 1833209049],,probSuccessViolated,,240022
2,,[r2, r3, r1],,[1720048119, 502, 668440888],,probSuccessViolated,,242656
2,,[r2, r3, r1],,[1094235865, 262, 672658685],,probSuccessViolated,,245147
2,,[r2, r3, r1],,[373345005, 384, 834720624],,probSuccessViolated,,247738
2,,[r2, r3, r1],,[93544029, 63, 1633482479],,probSuccessViolated,,250908
2,,[r2, r3, r1],,[855536195, 443, 1776287614],,probSuccessViolated,,254133
2,,[r2, r3, r1],,[1859735372, 78, 1318007667],,probSuccessViolated,,257065
2,,[r2, r3, r1],,[1184970166, 131, 7410308],,probSuccessViolated,,259749
2,,[r2, r3, r1],,[1303898777, 367, 1813357105],,probSuccessViolated,,262347
2,,[r2, r3, r1],,[972498053, 98, 1696762196],,probSuccessViolated,,264961
2,,[r2, r3, r1],,[58612228, 648, 1596639050],,probSuccessViolated,,267624
2,,[r2, r3, r1],,[1699190955, 271, 1319034907],,probSuccessViolated,,270283
2,,[r2, r3, r1],,[1509770436, 440, 1377735427],,probSuccessViolated,,272875
2,,[r2, r3, r1],,[176137131, 182, 1860434215],,probSuccessViolated,,275377
2,,[r2, r3, r1],,[1353735580, 115, 1605055972],,probSuccessViolated,,277929
2,,[r2, r3, r1],,[507379733, 317, 185787923],,probSuccessViolated,,280441
2,,[r2, r3, r1],,[684539835, 651, 34417127],,probSuccessViolated,,283165
2,,[r2, r3, r1],,[1879866124, 182, 466210725],,probSuccessViolated,,285731
2,,[r2, r3, r1],,[1926032263, 481, 183277313],,probSuccessViolated,,288308
2,,[r2, r3, r1],,[1360064650, 501, 1011221688],,probSuccessViolated,,290822
2,,[r2, r3, r1],,[378852147, 548, 879877649],,probSuccessViolated,,293744
2,,[r2, r3, r1],,[74097450, 53, 1179409541],,probSuccessViolated,,296256
2,,[r2, r3, r1],,[1475776578, 400, 562182908],,probSuccessViolated,,298635
2,,[r2, r3, r1],,[1961009641, 589, 487565396],,probSuccessViolated,,301341
3,,[r2, r3, r1],,[1736429869, 517, 148956004],,probSuccessViolated,,318172
3,,[r2, r3, r1],,[1360006715, 132, 1387095968],,probSuccessViolated,,332216
3,,[r2, r3, r1],,[1770937127, 125, 820704604],,probSuccessViolated,,334845
