alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r1],,[5505825, 435, 1440812886],,probSuccessViolated,,12698
3,,[r2, r3, r1],,[225777476, 136, 1683067494],,probSuccessViolated,,342429
3,,[r2, r3, r1],,[1361863625, 636, 55976851],,probSuccessViolated,,359387
3,,[r2, r3, r1],,[1549193998, 689, 1682675351],,probSuccessViolated,,361888
3,,[r2, r3, r1],,[805941755, 27, 49047763],,probSuccessViolated,,386880
3,,[r2, r3, r1],,[952488455, 540, 1268994617],,probSuccessViolated,,394015
3,,[r2, r3, r1],,[1869320673, 197, 1213435058],,probSuccessViolated,,399132
3,,[r2, r3, r1],,[1101735666, 279, 827707170],,probSuccessViolated,,424637
4,,[r2, r3, r1],,[64291384, 62, 2869311],,probSuccessViolated,,435716
4,,[r2, r3, r1],,[518334842, 244, 1642487343],,probSuccessViolated,,438319
4,,[r2, r3, r1],,[1387627965, 548, 884119822],,noPlanSynthesised,,438462
4,,[r2, r3, r1],,[1783229403, 197, 152090355],,probSuccessViolated,,440757
4,,[r2, r3, r1],,[414540166, 487, 614854943],,probSuccessViolated,,443348
4,,[r2, r3, r1],,[625987619, 566, 556239811],,probSuccessViolated,,446041
4,,[r2, r3, r1],,[1005376837, 422, 383536162],,probSuccessViolated,,448527
4,,[r2, r3, r1],,[1649463208, 468, 1242264981],,probSuccessViolated,,450598
4,,[r2, r3, r1],,[50927848, 433, 1179824375],,noPlanSynthesised,,450725
4,,[r2, r3, r1],,[633199468, 145, 430718806],,probSuccessViolated,,453273
4,,[r2, r3, r1],,[678880887, 546, 1070400669],,probSuccessViolated,,455763
4,,[r2, r3, r1],,[1847077161, 241, 1637846820],,probSuccessViolated,,458546
4,,[r2, r3, r1],,[1744245979, 410, 945482787],,probSuccessViolated,,461408
4,,[r2, r3, r1],,[1853123571, 636, 153312701],,probSuccessViolated,,463892
4,,[r2, r3, r1],,[205560262, 55, 1277945052],,probSuccessViolated,,466302
4,,[r2, r3, r1],,[1310951830, 681, 1448363712],,probSuccessViolated,,468840
4,,[r2, r3, r1],,[1169007739, 657, 1585674454],,probSuccessViolated,,471525
4,,[r2, r3, r1],,[928225720, 349, 77044478],,probSuccessViolated,,474542
4,,[r2, r3, r1],,[595871827, 421, 1579306634],,probSuccessViolated,,477115
4,,[r2, r3, r1],,[1032635737, 23, 665327034],,probSuccessViolated,,479600
4,,[r2, r3, r1],,[295213730, 56, 693210774],,probSuccessViolated,,482291
4,,[r2, r3, r1],,[38287309, 177, 1395814749],,probSuccessViolated,,484661
4,,[r2, r3, r1],,[1492282587, 211, 1735611179],,probSuccessViolated,,487317
4,,[r2, r3, r1],,[556018027, 33, 1385337896],,probSuccessViolated,,489742
4,,[r2, r3, r1],,[1304520004, 486, 1960449919],,probSuccessViolated,,492214
4,,[r2, r3, r1],,[1537419851, 446, 22980787],,probSuccessViolated,,494657
4,,[r2, r3, r1],,[922158430, 693, 1894206256],,probSuccessViolated,,497276
4,,[r2, r3, r1],,[979107982, 632, 1402091530],,probSuccessViolated,,499845
4,,[r2, r3, r1],,[1835898016, 635, 139390494],,probSuccessViolated,,502399
4,,[r2, r3, r1],,[460992984, 77, 61803620],,probSuccessViolated,,504840
4,,[r2, r3, r1],,[506990805, 508, 609670379],,probSuccessViolated,,507507
4,,[r2, r3, r1],,[912847520, 287, 1458359189],,probSuccessViolated,,510163
4,,[r2, r3, r1],,[123476747, 357, 1524372722],,probSuccessViolated,,512770
4,,[r2, r3, r1],,[1675346000, 134, 1991188341],,probSuccessViolated,,515198
4,,[r2, r3, r1],,[193331351, 450, 196748307],,probSuccessViolated,,517725
4,,[r2, r3, r1],,[1601868241, 532, 1013310306],,probSuccessViolated,,520313
4,,[r2, r3, r1],,[762524345, 471, 970034312],,probSuccessViolated,,522914
4,,[r2, r3, r1],,[720958453, 210, 864930640],,probSuccessViolated,,525374
4,,[r2, r3, r1],,[1661307195, 409, 693574530],,probSuccessViolated,,527846
4,,[r2, r3, r1],,[535633338, 195, 1317272597],,probSuccessViolated,,530373
4,,[r2, r3, r1],,[1561597077, 343, 171948855],,probSuccessViolated,,532755
4,,[r2, r3, r1],,[1582637247, 181, 921497509],,probSuccessViolated,,535456
4,,[r2, r3, r1],,[1418105485, 175, 1530041189],,probSuccessViolated,,538042
4,,[r2, r3, r1],,[564225656, 494, 118043859],,probSuccessViolated,,540440
4,,[r2, r3, r1],,[1428967530, 295, 740725494],,probSuccessViolated,,543071
4,,[r2, r3, r1],,[1894775577, 682, 1847505320],,probSuccessViolated,,545529
4,,[r2, r3, r1],,[943380748, 492, 1330885800],,probSuccessViolated,,548052
4,,[r2, r3, r1],,[133212942, 509, 1960850978],,probSuccessViolated,,551451
4,,[r2, r3, r1],,[1657459054, 541, 1579996215],,probSuccessViolated,,554480
4,,[r2, r3, r1],,[94606491, 89, 1100223269],,probSuccessViolated,,557573
5,,[r2, r3, r1],,[1022009585, 128, 1316703661],,probSuccessViolated,,560451
5,,[r2, r3, r1],,[253390835, 568, 772968061],,probSuccessViolated,,563246
5,,[r2, r3, r1],,[1860321, 528, 280552611],,probSuccessViolated,,565666
5,,[r2, r3, r1],,[1189049921, 163, 1340231696],,probSuccessViolated,,568361
5,,[r2, r3, r1],,[145841205, 583, 1348263901],,probSuccessViolated,,571216
5,,[r2, r3, r1],,[919215629, 79, 564200234],,probSuccessViolated,,573898
5,,[r2, r3, r1],,[148474047, 257, 1957322676],,probSuccessViolated,,576421
5,,[r2, r3, r1],,[826643931, 494, 178711258],,probSuccessViolated,,578932
5,,[r2, r3, r1],,[818634482, 409, 619006112],,probSuccessViolated,,581652
5,,[r2, r3, r1],,[32311358, 436, 749447950],,probSuccessViolated,,584288
5,,[r2, r3, r1],,[2000104067, 620, 460860004],,probSuccessViolated,,586892
5,,[r2, r3, r1],,[992610339, 138, 488105263],,probSuccessViolated,,589370
5,,[r2, r3, r1],,[1059834747, 367, 850056796],,probSuccessViolated,,591788
5,,[r2, r3, r1],,[138329254, 604, 599569420],,probSuccessViolated,,594283
5,,[r2, r3, r1],,[358671402, 454, 1394522170],,probSuccessViolated,,596821
5,,[r2, r3, r1],,[116822521, 33, 605123429],,probSuccessViolated,,599433
5,,[r2, r3, r1],,[867441853, 111, 1126296298],,probSuccessViolated,,602108
5,,[r2, r3, r1],,[807968160, 530, 810715498],,probSuccessViolated,,604595
5,,[r2, r3, r1],,[775983047, 533, 1648738671],,probSuccessViolated,,607266
5,,[r2, r3, r1],,[269779572, 556, 1374175226],,probSuccessViolated,,609767
5,,[r2, r3, r1],,[1629553880, 609, 177302586],,probSuccessViolated,,612497
5,,[r2, r3, r1],,[1900886679, 317, 1233273288],,probSuccessViolated,,614964
5,,[r2, r3, r1],,[1464241885, 226, 522539392],,probSuccessViolated,,617497
5,,[r2, r3, r1],,[332537023, 59, 185714101],,probSuccessViolated,,619973
5,,[r2, r3, r1],,[975626773, 418, 369230972],,probSuccessViolated,,622745
5,,[r2, r3, r1],,[1669872286, 707, 1202933503],,probSuccessViolated,,625375
5,,[r2, r3, r1],,[541782985, 499, 1600051207],,probSuccessViolated,,627971
5,,[r2, r3, r1],,[127480721, 350, 279961439],,probSuccessViolated,,630872
5,,[r2, r3, r1],,[1038338870, 665, 1702141278],,probSuccessViolated,,633459
5,,[r2, r3, r1],,[1199987588, 127, 1113231188],,probSuccessViolated,,636441
5,,[r2, r3, r1],,[67297633, 600, 1906439797],,probSuccessViolated,,638909
5,,[r2, r3, r1],,[1864125231, 542, 465811871],,probSuccessViolated,,641413
5,,[r2, r3, r1],,[1341000210, 166, 481057207],,probSuccessViolated,,643911
5,,[r2, r3, r1],,[757753379, 547, 1515130466],,probSuccessViolated,,646584
5,,[r2, r3, r1],,[930119941, 383, 1415269240],,probSuccessViolated,,649192
5,,[r2, r3, r1],,[1895858497, 69, 1199287940],,probSuccessViolated,,651739
5,,[r2, r3, r1],,[1348975707, 78, 1357492395],,probSuccessViolated,,654303
5,,[r2, r3, r1],,[125840984, 574, 1284579303],,probSuccessViolated,,657117
5,,[r2, r3, r1],,[124744911, 311, 221187061],,probSuccessViolated,,659700
5,,[r2, r3, r1],,[276231521, 460, 967070677],,probSuccessViolated,,662422
5,,[r2, r3, r1],,[204633578, 316, 355693013],,probSuccessViolated,,665072
5,,[r2, r3, r1],,[1774721585, 254, 1516568507],,probSuccessViolated,,667738
5,,[r2, r3, r1],,[236840942, 508, 1028201486],,probSuccessViolated,,670335
5,,[r2, r3, r1],,[1155064029, 681, 1284622165],,probSuccessViolated,,672913
5,,[r2, r3, r1],,[1377180104, 158, 1573504082],,probSuccessViolated,,675543
5,,[r2, r3, r1],,[1233961690, 626, 251494612],,probSuccessViolated,,678218
5,,[r2, r3, r1],,[2002756125, 601, 1633141836],,probSuccessViolated,,680710
5,,[r2, r3, r1],,[709288568, 560, 1914299434],,probSuccessViolated,,683414
5,,[r2, r3, r1],,[98283422, 495, 1838281280],,probSuccessViolated,,685982
5,,[r2, r3, r1],,[13930546, 171, 1825025033],,probSuccessViolated,,688598
6,,[r2, r3, r1],,[1313603299, 640, 1284725712],,probSuccessViolated,,691729
6,,[r2, r3, r1],,[1336417418, 428, 313176084],,probSuccessViolated,,694933
6,,[r2, r3, r1],,[750496972, 648, 1992581146],,probSuccessViolated,,697653
6,,[r2, r3, r1],,[1872589306, 585, 1163990648],,probSuccessViolated,,700349
6,,[r2, r3, r1],,[601318708, 710, 1371411893],,probSuccessViolated,,702931
6,,[r2, r3, r1],,[530991725, 118, 798778021],,probSuccessViolated,,705307
6,,[r2, r3, r1],,[985869560, 653, 39834256],,probSuccessViolated,,707755
6,,[r2, r3, r1],,[1847214278, 231, 1654733596],,probSuccessViolated,,710401
6,,[r2, r3, r1],,[1380391, 355, 1713740635],,probSuccessViolated,,712894
6,,[r2, r3, r1],,[112716228, 431, 1542762754],,probSuccessViolated,,715452
6,,[r2, r3, r1],,[819794913, 544, 1541953044],,probSuccessViolated,,717943
6,,[r2, r3, r1],,[262129533, 252, 450033886],,probSuccessViolated,,720436
6,,[r2, r3, r1],,[1023575132, 269, 1220722944],,probSuccessViolated,,723079
6,,[r2, r3, r1],,[1385802613, 625, 881611437],,probSuccessViolated,,725690
6,,[r2, r3, r1],,[1774183036, 491, 1885828084],,probSuccessViolated,,728244
6,,[r2, r3, r1],,[1405366601, 256, 427437036],,probSuccessViolated,,730923
6,,[r2, r3, r1],,[725405142, 652, 832526920],,probSuccessViolated,,733543
6,,[r2, r3, r1],,[451231002, 502, 1491894167],,probSuccessViolated,,736124
6,,[r2, r3, r1],,[1477754290, 255, 1644130743],,probSuccessViolated,,738845
6,,[r2, r3, r1],,[1921645517, 494, 1864797949],,probSuccessViolated,,741458
6,,[r2, r3, r1],,[955764764, 395, 855195319],,probSuccessViolated,,743834
6,,[r2, r3, r1],,[1649080675, 709, 982989783],,probSuccessViolated,,746454
6,,[r2, r3, r1],,[904750684, 28, 794725347],,probSuccessViolated,,748883
6,,[r2, r3, r1],,[1013136385, 69, 1674595867],,probSuccessViolated,,751585
6,,[r2, r3, r1],,[397327060, 385, 776104241],,probSuccessViolated,,754005
6,,[r2, r3, r1],,[1043887589, 604, 888646431],,probSuccessViolated,,756552
6,,[r2, r3, r1],,[832113065, 384, 334563214],,probSuccessViolated,,759216
6,,[r2, r3, r1],,[962634042, 420, 889556704],,probSuccessViolated,,761833
6,,[r2, r3, r1],,[1168270329, 590, 1671928345],,probSuccessViolated,,764444
6,,[r2, r3, r1],,[178596226, 697, 587577507],,probSuccessViolated,,767036
6,,[r2, r3, r1],,[1512318402, 24, 675879529],,probSuccessViolated,,769399
6,,[r2, r3, r1],,[1587745547, 552, 1911328425],,probSuccessViolated,,772029
6,,[r2, r3, r1],,[930911023, 443, 418594617],,probSuccessViolated,,774559
6,,[r2, r3, r1],,[589339288, 130, 955702470],,probSuccessViolated,,776970
6,,[r2, r3, r1],,[1514623333, 240, 61420588],,probSuccessViolated,,779500
6,,[r2, r3, r1],,[1086507607, 57, 1969896554],,probSuccessViolated,,781980
6,,[r2, r3, r1],,[1681614539, 386, 843719321],,probSuccessViolated,,784578
6,,[r2, r3, r1],,[1445648272, 664, 1574772611],,probSuccessViolated,,787112
6,,[r2, r3, r1],,[1597332378, 521, 504093758],,probSuccessViolated,,789641
6,,[r2, r3, r1],,[1499500226, 563, 1178906620],,probSuccessViolated,,792191
6,,[r2, r3, r1],,[425283225, 604, 1960835926],,probSuccessViolated,,794675
6,,[r2, r3, r1],,[750595275, 432, 408587081],,probSuccessViolated,,797141
6,,[r2, r3, r1],,[301875126, 581, 95589421],,probSuccessViolated,,799666
6,,[r2, r3, r1],,[1197706618, 3, 1557090715],,probSuccessViolated,,802207
6,,[r2, r3, r1],,[1889070601, 159, 1584165764],,probSuccessViolated,,804700
6,,[r2, r3, r1],,[1184656352, 275, 1650560309],,probSuccessViolated,,807373
6,,[r2, r3, r1],,[1061525919, 329, 192394349],,probSuccessViolated,,809856
6,,[r2, r3, r1],,[1378282124, 360, 1335385684],,probSuccessViolated,,812499
6,,[r2, r3, r1],,[185497367, 579, 945637221],,probSuccessViolated,,815019
6,,[r2, r3, r1],,[1579193562, 701, 1413882743],,probSuccessViolated,,817569
7,,[r2, r3, r1],,[25197067, 33, 1915023948],,probSuccessViolated,,820041
7,,[r2, r3, r1],,[1617069778, 113, 1410473398],,probSuccessViolated,,822365
7,,[r2, r3, r1],,[1000054573, 515, 524477440],,probSuccessViolated,,824958
7,,[r2, r3, r1],,[7066023, 50, 1294390600],,probSuccessViolated,,827326
7,,[r2, r3, r1],,[430396017, 130, 996575132],,probSuccessViolated,,829946
7,,[r2, r3, r1],,[1268840516, 369, 1326314012],,probSuccessViolated,,832589
7,,[r2, r3, r1],,[1842304730, 60, 1996595611],,probSuccessViolated,,835075
7,,[r2, r3, r1],,[343106267, 271, 1530284238],,probSuccessViolated,,837877
7,,[r2, r3, r1],,[750934513, 52, 723078528],,probSuccessViolated,,840474
7,,[r2, r3, r1],,[725791470, 645, 783464254],,probSuccessViolated,,843197
7,,[r2, r3, r1],,[23225185, 40, 1333672479],,probSuccessViolated,,845607
7,,[r2, r3, r1],,[1664061838, 238, 750807520],,probSuccessViolated,,848143
7,,[r2, r3, r1],,[1417985128, 595, 1545442226],,probSuccessViolated,,851595
7,,[r2, r3, r1],,[19262108, 54, 1350681386],,probSuccessViolated,,854987
7,,[r2, r3, r1],,[733941032, 53, 1856730001],,probSuccessViolated,,857312
7,,[r2, r3, r1],,[274800869, 691, 248057749],,probSuccessViolated,,859980
7,,[r2, r3, r1],,[1824074907, 180, 1797722332],,probSuccessViolated,,862533
7,,[r2, r3, r1],,[482907624, 179, 1108136276],,probSuccessViolated,,864991
7,,[r2, r3, r1],,[482748083, 367, 1782087317],,probSuccessViolated,,867473
7,,[r2, r3, r1],,[1065857419, 309, 254342680],,probSuccessViolated,,870092
7,,[r2, r3, r1],,[550313861, 56, 1046117464],,probSuccessViolated,,872968
7,,[r2, r3, r1],,[1937134783, 526, 1117410806],,probSuccessViolated,,875512
7,,[r2, r3, r1],,[1778180788, 413, 2001619273],,probSuccessViolated,,878105
7,,[r2, r3, r1],,[1032861809, 657, 650899865],,probSuccessViolated,,880817
7,,[r2, r3, r1],,[1061845166, 691, 1938227814],,probSuccessViolated,,883489
7,,[r2, r3, r1],,[146725234, 122, 1214979322],,probSuccessViolated,,885920
7,,[r2, r3, r1],,[699839971, 636, 1907833368],,probSuccessViolated,,887650
7,,[r2, r3, r1],,[1250644711, 72, 1030229722],,probSuccessViolated,,890082
7,,[r2, r3, r1],,[924804596, 479, 1528219003],,probSuccessViolated,,892784
7,,[r2, r3, r1],,[805749509, 157, 1624678752],,probSuccessViolated,,895355
7,,[r2, r3, r1],,[1356859416, 655, 828130639],,probSuccessViolated,,898002
7,,[r2, r3, r1],,[1175735386, 455, 419909874],,probSuccessViolated,,900586
7,,[r2, r3, r1],,[1156335179, 175, 134533193],,probSuccessViolated,,903211
7,,[r2, r3, r1],,[88309327, 407, 357378297],,probSuccessViolated,,905900
7,,[r2, r3, r1],,[763118275, 502, 1433312378],,probSuccessViolated,,908269
7,,[r2, r3, r1],,[1652567897, 129, 307654148],,probSuccessViolated,,910849
7,,[r2, r3, r1],,[918204037, 237, 792377709],,probSuccessViolated,,913371
7,,[r2, r3, r1],,[1731244677, 584, 1800292600],,probSuccessViolated,,915821
7,,[r2, r3, r1],,[1101947660, 181, 1920973195],,probSuccessViolated,,918381
7,,[r2, r3, r1],,[946596879, 427, 112523084],,probSuccessViolated,,920954
7,,[r2, r3, r1],,[1259944769, 25, 1909631803],,probSuccessViolated,,923563
7,,[r2, r3, r1],,[645379533, 586, 276328101],,probSuccessViolated,,926253
7,,[r2, r3, r1],,[1602633, 684, 221314466],,probSuccessViolated,,928630
7,,[r2, r3, r1],,[1506565800, 540, 853617771],,probSuccessViolated,,931155
7,,[r2, r3, r1],,[1861074807, 386, 209079048],,probSuccessViolated,,933448
7,,[r2, r3, r1],,[907645967, 248, 570851403],,probSuccessViolated,,935800
7,,[r2, r3, r1],,[841950767, 563, 1474416008],,probSuccessViolated,,938373
7,,[r2, r3, r1],,[919203663, 119, 1409990153],,probSuccessViolated,,940858
7,,[r2, r3, r1],,[589833250, 595, 135937991],,probSuccessViolated,,943654
7,,[r2, r3, r1],,[478972872, 407, 1796882546],,probSuccessViolated,,946274
8,,[r2, r3, r1],,[589147372, 423, 815539265],,probSuccessViolated,,953966
8,,[r2, r3, r1],,[825639260, 467, 1269715285],,probSuccessViolated,,956400
8,,[r2, r3, r1],,[144587915, 183, 1541925188],,probSuccessViolated,,958826
8,,[r2, r3, r1],,[533161742, 217, 609228270],,probSuccessViolated,,964201
8,,[r2, r3, r1],,[1242855556, 287, 1584756650],,probSuccessViolated,,966846
8,,[r2, r3, r1],,[1224575239, 180, 1162834912],,probSuccessViolated,,977151
8,,[r2, r3, r1],,[665502256, 476, 393461939],,probSuccessViolated,,982129
8,,[r2, r3, r1],,[387488838, 393, 549608437],,probSuccessViolated,,989831
8,,[r2, r3, r1],,[1663178602, 682, 123041144],,probSuccessViolated,,999850
8,,[r2, r3, r1],,[843713308, 14, 1175806962],,probSuccessViolated,,1002282
8,,[r2, r3, r1],,[34378602, 407, 1192592583],,probSuccessViolated,,1007337
8,,[r2, r3, r1],,[931741364, 395, 48230885],,probSuccessViolated,,1014839
8,,[r2, r3, r1],,[215847252, 498, 1119939538],,probSuccessViolated,,1017455
8,,[r2, r3, r1],,[424116730, 636, 1896995482],,probSuccessViolated,,1019995
8,,[r2, r3, r1],,[452925108, 140, 27063731],,probSuccessViolated,,1022560
8,,[r2, r3, r1],,[329876936, 14, 132496851],,probSuccessViolated,,1031117
8,,[r2, r3, r1],,[1837275167, 21, 942864406],,probSuccessViolated,,1049189
8,,[r2, r3, r1],,[1311309991, 462, 1443070708],,probSuccessViolated,,1054443
8,,[r2, r3, r1],,[1382885581, 252, 1079999314],,probSuccessViolated,,1069826
8,,[r2, r3, r1],,[1350190323, 411, 329923944],,probSuccessViolated,,1075009
9,,[r2, r3, r1],,[180356130, 604, 757877736],,probSuccessViolated,,1077509
9,,[r2, r3, r1],,[1765991117, 365, 1197835572],,probSuccessViolated,,1080139
9,,[r2, r3, r1],,[1896434822, 277, 42464294],,probSuccessViolated,,1081788
9,,[r2, r3, r1],,[1775511626, 425, 1708038768],,probSuccessViolated,,1084385
9,,[r2, r3, r1],,[1484850511, 321, 610538742],,probSuccessViolated,,1086971
9,,[r2, r3, r1],,[1626610064, 85, 49911272],,probSuccessViolated,,1089566
9,,[r2, r3, r1],,[950082302, 274, 531916674],,probSuccessViolated,,1092110
9,,[r2, r3, r1],,[1451026805, 264, 633115022],,probSuccessViolated,,1094772
9,,[r2, r3, r1],,[1381685261, 621, 1622553963],,probSuccessViolated,,1097371
9,,[r2, r3, r1],,[646010200, 578, 279681053],,probSuccessViolated,,1099903
9,,[r2, r3, r1],,[1195411391, 120, 900027850],,probSuccessViolated,,1102435
9,,[r2, r3, r1],,[402683199, 707, 1537387763],,probSuccessViolated,,1105081
9,,[r2, r3, r1],,[129255560, 517, 836797232],,probSuccessViolated,,1107530
9,,[r2, r3, r1],,[1522535267, 233, 718396174],,probSuccessViolated,,1110000
9,,[r2, r3, r1],,[1969399096, 9, 495938637],,probSuccessViolated,,1112656
9,,[r2, r3, r1],,[1041949667, 261, 1415376895],,probSuccessViolated,,1115061
9,,[r2, r3, r1],,[987423094, 20, 569148163],,probSuccessViolated,,1117657
9,,[r2, r3, r1],,[163181857, 535, 1367894695],,probSuccessViolated,,1120065
