alloc,,robots,,permut,,attr,,time  (maxSucc value=prob. of failing times 100)
5,,[r2, r3, r4, r5, r6, r1],,[4019, 24, 1, 2, 1, 1],,{minIdle=11.0, maxSucc=32.56801667596834, minTravel=60.0},,118472
5,,[r2, r3, r4, r5, r6, r1],,[1687, 2, 1, 1, 1, 1],,{minIdle=44.0, maxSucc=32.56801667596832, minTravel=54.0},,121869
5,,[r2, r3, r4, r5, r6, r1],,[3157, 12, 1, 2, 1, 1],,{minIdle=1.0, maxSucc=29.311215008371494, minTravel=41.0},,125901
5,,[r2, r3, r4, r5, r6, r1],,[2128, 20, 1, 1, 1, 1],,{minIdle=39.0, maxSucc=26.380093507534347, minTravel=66.0},,127788
5,,[r2, r3, r4, r5, r6, r1],,[897, 4, 1, 2, 1, 1],,{minIdle=20.0, maxSucc=32.56801667596834, minTravel=55.0},,129434
5,,[r2, r3, r4, r5, r6, r1],,[1857, 8, 1, 2, 1, 1],,{minIdle=14.0, maxSucc=29.311215008371494, minTravel=51.0},,131634
5,,[r2, r3, r4, r5, r6, r1],,[2312, 16, 1, 1, 1, 1],,{minIdle=50.0, maxSucc=29.311215008371498, minTravel=57.0},,132680
5,,[r2, r3, r4, r5, r6, r1],,[2436, 8, 1, 2, 1, 1],,{minIdle=1.0, maxSucc=26.38009350753435, minTravel=60.0},,135088
5,,[r2, r3, r4, r5, r6, r1],,[294, 8, 1, 2, 1, 1],,{minIdle=1.0, maxSucc=29.311215008371494, minTravel=62.0},,139075
6,,[r3, r4, r5, r6, r1],,[13, 1, 1, 2, 4708],,{minIdle=1.0, maxSucc=50.44773514392858, minTravel=55.0},,143247
8,,[r2, r3, r4, r5, r6, r1],,[3, 3, 1, 1, 1, 618],,{minIdle=40.0, maxSucc=45.326753085161755, minTravel=68.0},,150471
8,,[r2, r3, r4, r5, r6, r1],,[2, 3, 1, 1, 2, 432],,{minIdle=4.0, maxSucc=45.32675308516175, minTravel=42.0},,151174
8,,[r2, r3, r4, r5, r6, r1],,[6, 3, 1, 1, 2, 132],,{minIdle=1.0, maxSucc=40.79407777664557, minTravel=44.0},,152194
9,,[r2, r3, r4, r5, r6, r1],,[2, 6, 1, 1, 1, 72],,{minIdle=42.0, maxSucc=45.327614392208844, minTravel=46.0},,155633
9,,[r2, r3, r4, r5, r6, r1],,[6, 3, 1, 1, 1, 420],,{minIdle=39.0, maxSucc=40.79485295298796, minTravel=59.0},,166463
10,,[r2, r3, r4, r5, r6, r1],,[1, 3, 1, 1, 1, 26930],,{minIdle=53.0, maxSucc=59.00319899874689, minTravel=65.0},,169491
11,,[r2, r3, r4, r5, r6, r1],,[600, 14, 1, 2, 1, 2],,{minIdle=18.0, maxSucc=28.04011200061975, minTravel=47.0},,172942
11,,[r2, r3, r4, r5, r6, r1],,[48, 14, 1, 2, 1, 1],,{minIdle=27.0, maxSucc=28.04011200061975, minTravel=49.0},,173692
11,,[r2, r3, r4, r5, r6, r1],,[127, 16, 1, 2, 1, 1],,{minIdle=19.0, maxSucc=28.04011200061975, minTravel=62.0},,175560
11,,[r2, r3, r4, r5, r6, r1],,[480, 2, 1, 1, 1, 2],,{minIdle=56.0, maxSucc=25.23610080055777, minTravel=59.0},,190192
12,,[r2, r3, r4, r5, r6, r1],,[12, 3, 1, 1, 1, 60],,{minIdle=45.0, maxSucc=34.47218853055723, minTravel=75.0},,200305
13,,[r3, r4, r5, r6, r1],,[61, 1, 1, 1, 3151],,{minIdle=39.0, maxSucc=52.571850307883494, minTravel=41.0},,204582
13,,[r3, r4, r5, r6, r1],,[100, 1, 1, 2, 4641],,{minIdle=1.0, maxSucc=52.57185030788348, minTravel=46.0},,205198
