alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r6, r1],,[2, 82, 2, 1, 1, 78],,noPlanSynthesised,,70093
1,,[r2, r3, r4, r5, r6, r1],,[2, 56, 2, 1, 1, 96],,noPlanSynthesised,,70290
1,,[r2, r3, r4, r5, r6, r1],,[2, 38, 2, 1, 1, 77],,noPlanSynthesised,,70534
1,,[r2, r3, r4, r5, r6, r1],,[2, 13, 2, 1, 1, 47],,noPlanSynthesised,,70803
1,,[r2, r3, r4, r5, r6, r1],,[1, 57, 1, 1, 1, 119],,noPlanSynthesised,,70922
1,,[r2, r3, r4, r5, r6, r1],,[1, 67, 1, 1, 1, 58],,noPlanSynthesised,,71068
1,,[r2, r3, r4, r5, r6, r1],,[1, 92, 1, 1, 1, 20],,noPlanSynthesised,,71270
1,,[r2, r3, r4, r5, r6, r1],,[2, 94, 1, 1, 1, 65],,noPlanSynthesised,,71639
1,,[r2, r3, r4, r5, r6, r1],,[1, 6, 2, 1, 1, 69],,noPlanSynthesised,,71938
1,,[r2, r3, r4, r5, r6, r1],,[1, 68, 1, 1, 1, 113],,noPlanSynthesised,,72054
1,,[r2, r3, r4, r5, r6, r1],,[2, 8, 2, 1, 1, 116],,noPlanSynthesised,,72201
1,,[r2, r3, r4, r5, r6, r1],,[2, 8, 1, 1, 1, 19],,noPlanSynthesised,,72355
1,,[r2, r3, r4, r5, r6, r1],,[2, 55, 1, 1, 1, 99],,noPlanSynthesised,,72658
1,,[r2, r3, r4, r5, r6, r1],,[1, 12, 1, 1, 1, 74],,noPlanSynthesised,,72789
1,,[r2, r3, r4, r5, r6, r1],,[1, 93, 1, 1, 1, 9],,noPlanSynthesised,,72885
1,,[r2, r3, r4, r5, r6, r1],,[2, 96, 1, 1, 1, 67],,noPlanSynthesised,,73157
1,,[r2, r3, r4, r5, r6, r1],,[2, 112, 2, 1, 1, 54],,noPlanSynthesised,,73347
1,,[r2, r3, r4, r5, r6, r1],,[2, 40, 1, 1, 1, 101],,noPlanSynthesised,,73690
1,,[r2, r3, r4, r5, r6, r1],,[2, 4, 1, 1, 1, 15],,noPlanSynthesised,,74011
1,,[r2, r3, r4, r5, r6, r1],,[1, 35, 1, 1, 1, 96],,noPlanSynthesised,,74240
1,,[r2, r3, r4, r5, r6, r1],,[2, 20, 1, 1, 1, 12],,noPlanSynthesised,,74731
1,,[r2, r3, r4, r5, r6, r1],,[2, 94, 1, 1, 1, 10],,noPlanSynthesised,,75027
1,,[r2, r3, r4, r5, r6, r1],,[2, 114, 1, 1, 1, 87],,noPlanSynthesised,,75273
1,,[r2, r3, r4, r5, r6, r1],,[1, 71, 2, 1, 1, 85],,noPlanSynthesised,,75544
2,,[r2, r3, r4, r5, r6, r1],,[5, 4, 1, 1, 1, 53],,noPlanSynthesised,,76444
2,,[r2, r3, r4, r5, r6, r1],,[6, 2, 2, 1, 1, 339],,noPlanSynthesised,,76517
2,,[r2, r3, r4, r5, r6, r1],,[6, 3, 1, 1, 1, 281],,noPlanSynthesised,,77188
2,,[r2, r3, r4, r5, r6, r1],,[3, 2, 1, 1, 1, 691],,noPlanSynthesised,,77289
2,,[r2, r3, r4, r5, r6, r1],,[1, 1, 1, 1, 1, 117],,noPlanSynthesised,,77361
2,,[r2, r3, r4, r5, r6, r1],,[6, 5, 1, 1, 1, 154],,noPlanSynthesised,,77386
2,,[r2, r3, r4, r5, r6, r1],,[3, 1, 1, 1, 1, 711],,noPlanSynthesised,,77424
2,,[r2, r3, r4, r5, r6, r1],,[2, 3, 2, 1, 1, 348],,noPlanSynthesised,,77477
2,,[r2, r3, r4, r5, r6, r1],,[2, 3, 2, 1, 1, 37],,noPlanSynthesised,,77563
2,,[r2, r3, r4, r5, r6, r1],,[5, 4, 1, 1, 1, 192],,noPlanSynthesised,,77609
2,,[r2, r3, r4, r5, r6, r1],,[3, 5, 2, 1, 1, 111],,noPlanSynthesised,,77631
2,,[r2, r3, r4, r5, r6, r1],,[2, 4, 2, 1, 1, 607],,noPlanSynthesised,,77809
2,,[r2, r3, r4, r5, r6, r1],,[2, 5, 2, 1, 1, 408],,noPlanSynthesised,,77940
2,,[r2, r3, r4, r5, r6, r1],,[5, 2, 2, 1, 1, 539],,noPlanSynthesised,,77981
2,,[r2, r3, r4, r5, r6, r1],,[5, 3, 2, 1, 1, 202],,noPlanSynthesised,,78031
2,,[r2, r3, r4, r5, r6, r1],,[4, 5, 1, 1, 1, 145],,noPlanSynthesised,,78094
2,,[r2, r3, r4, r5, r6, r1],,[4, 3, 1, 1, 1, 282],,noPlanSynthesised,,78122
2,,[r2, r3, r4, r5, r6, r1],,[2, 3, 1, 1, 1, 102],,noPlanSynthesised,,78144
2,,[r2, r3, r4, r5, r6, r1],,[3, 1, 2, 1, 1, 323],,noPlanSynthesised,,78181
2,,[r2, r3, r4, r5, r6, r1],,[1, 2, 2, 1, 1, 215],,noPlanSynthesised,,78212
2,,[r2, r3, r4, r5, r6, r1],,[5, 1, 1, 1, 1, 550],,noPlanSynthesised,,78252
2,,[r2, r3, r4, r5, r6, r1],,[6, 4, 1, 1, 1, 145],,noPlanSynthesised,,78280
2,,[r2, r3, r4, r5, r6, r1],,[6, 4, 2, 1, 1, 646],,noPlanSynthesised,,78314
2,,[r2, r3, r4, r5, r6, r1],,[4, 2, 1, 1, 1, 280],,noPlanSynthesised,,78339
2,,[r2, r3, r4, r5, r6, r1],,[4, 5, 2, 1, 1, 170],,noPlanSynthesised,,78382
2,,[r2, r3, r4, r5, r6, r1],,[2, 1, 2, 1, 1, 331],,noPlanSynthesised,,78453
2,,[r2, r3, r4, r5, r6, r1],,[4, 3, 2, 1, 1, 435],,noPlanSynthesised,,78487
2,,[r2, r3, r4, r5, r6, r1],,[3, 1, 1, 1, 1, 557],,noPlanSynthesised,,78524
2,,[r2, r3, r4, r5, r6, r1],,[2, 6, 2, 1, 1, 548],,noPlanSynthesised,,78570
2,,[r2, r3, r4, r5, r6, r1],,[4, 1, 2, 1, 1, 343],,noPlanSynthesised,,78604
2,,[r2, r3, r4, r5, r6, r1],,[5, 6, 2, 1, 1, 553],,noPlanSynthesised,,78645
2,,[r2, r3, r4, r5, r6, r1],,[1, 6, 1, 1, 1, 545],,noPlanSynthesised,,78669
2,,[r2, r3, r4, r5, r6, r1],,[3, 3, 1, 1, 1, 280],,noPlanSynthesised,,78710
2,,[r2, r3, r4, r5, r6, r1],,[3, 4, 1, 1, 1, 72],,noPlanSynthesised,,78775
2,,[r2, r3, r4, r5, r6, r1],,[1, 2, 2, 1, 1, 524],,noPlanSynthesised,,78819
2,,[r2, r3, r4, r5, r6, r1],,[3, 2, 2, 1, 1, 402],,noPlanSynthesised,,78844
2,,[r2, r3, r4, r5, r6, r1],,[3, 1, 2, 1, 1, 472],,noPlanSynthesised,,78865
2,,[r2, r3, r4, r5, r6, r1],,[3, 2, 1, 1, 1, 613],,noPlanSynthesised,,78917
2,,[r2, r3, r4, r5, r6, r1],,[5, 4, 2, 1, 1, 176],,noPlanSynthesised,,79058
2,,[r2, r3, r4, r5, r6, r1],,[5, 3, 2, 1, 1, 46],,noPlanSynthesised,,79093
2,,[r2, r3, r4, r5, r6, r1],,[3, 2, 1, 1, 1, 394],,noPlanSynthesised,,79125
2,,[r2, r3, r4, r5, r6, r1],,[4, 5, 1, 1, 1, 54],,noPlanSynthesised,,79163
2,,[r2, r3, r4, r5, r6, r1],,[4, 2, 1, 1, 1, 683],,noPlanSynthesised,,79183
2,,[r2, r3, r4, r5, r6, r1],,[1, 5, 2, 1, 1, 151],,noPlanSynthesised,,79235
2,,[r2, r3, r4, r5, r6, r1],,[4, 6, 2, 1, 1, 357],,noPlanSynthesised,,80369
2,,[r2, r3, r4, r5, r6, r1],,[3, 2, 1, 1, 1, 696],,noPlanSynthesised,,80490
2,,[r2, r3, r4, r5, r6, r1],,[6, 2, 1, 1, 1, 481],,noPlanSynthesised,,80661
2,,[r2, r3, r4, r5, r6, r1],,[5, 5, 1, 1, 1, 407],,noPlanSynthesised,,80718
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 207],,noPlanSynthesised,,80777
2,,[r2, r3, r4, r5, r6, r1],,[5, 1, 2, 1, 1, 687],,noPlanSynthesised,,80834
2,,[r2, r3, r4, r5, r6, r1],,[2, 3, 2, 1, 1, 383],,noPlanSynthesised,,80868
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 390],,noPlanSynthesised,,81111
2,,[r2, r3, r4, r5, r6, r1],,[5, 4, 2, 1, 1, 129],,noPlanSynthesised,,81153
2,,[r2, r3, r4, r5, r6, r1],,[5, 2, 2, 1, 1, 111],,noPlanSynthesised,,81175
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 170],,noPlanSynthesised,,81227
2,,[r2, r3, r4, r5, r6, r1],,[4, 2, 2, 1, 1, 163],,noPlanSynthesised,,81275
2,,[r2, r3, r4, r5, r6, r1],,[6, 2, 2, 1, 1, 284],,noPlanSynthesised,,81326
2,,[r2, r3, r4, r5, r6, r1],,[4, 5, 2, 1, 1, 501],,noPlanSynthesised,,81368
