alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r4, r5, r1],,[1380, 92551463, 1, 1, 987],,noPlanSynthesised,,102925
1,,[r2, r3, r4, r5, r1],,[2062, 286762276, 1, 2, 26675],,noPlanSynthesised,,116474
1,,[r2, r3, r4, r5, r1],,[4744, 77246870, 2, 1, 129],,noPlanSynthesised,,142408
1,,[r2, r3, r4, r5, r1],,[265, 16092308, 2, 1, 36472],,noPlanSynthesised,,170648
1,,[r2, r3, r4, r5, r1],,[1790, 439119966, 1, 2, 12179],,noPlanSynthesised,,306717
1,,[r2, r3, r4, r5, r1],,[1789, 121577381, 2, 1, 10322],,noPlanSynthesised,,341479
1,,[r2, r3, r4, r5, r1],,[1698, 69326907, 2, 2, 5868],,noPlanSynthesised,,372847
1,,[r2, r3, r4, r5, r1],,[3892, 117551190, 1, 1, 1006],,noPlanSynthesised,,397948
1,,[r2, r3, r4, r5, r1],,[861, 390356006, 2, 2, 31332],,noPlanSynthesised,,411929
1,,[r2, r3, r4, r5, r1],,[1769, 180208846, 2, 2, 35669],,noPlanSynthesised,,433455
1,,[r2, r3, r4, r5, r1],,[3885, 353912361, 1, 2, 1628],,noPlanSynthesised,,453580
1,,[r2, r3, r4, r5, r1],,[3661, 272617260, 2, 2, 10764],,noPlanSynthesised,,477513
1,,[r2, r3, r4, r5, r1],,[3064, 238165633, 1, 2, 900],,noPlanSynthesised,,514975
1,,[r2, r3, r4, r5, r1],,[3716, 372646045, 2, 2, 21411],,noPlanSynthesised,,552383
1,,[r2, r3, r4, r5, r1],,[759, 471816155, 2, 1, 35086],,noPlanSynthesised,,566456
1,,[r2, r3, r4, r5, r1],,[4271, 153630383, 2, 2, 35228],,noPlanSynthesised,,580673
1,,[r2, r3, r4, r5, r1],,[3118, 38359926, 2, 1, 26059],,noPlanSynthesised,,864961
1,,[r2, r3, r4, r5, r1],,[3435, 151301619, 2, 2, 3035],,noPlanSynthesised,,2479466
1,,[r2, r3, r4, r5, r1],,[1163, 206924207, 2, 1, 21377],,noPlanSynthesised,,4396044
1,,[r2, r3, r4, r5, r1],,[39, 249742537, 2, 2, 37802],,noPlanSynthesised,,5187980
1,,[r2, r3, r4, r5, r1],,[2661, 111710468, 1, 2, 2732],,noPlanSynthesised,,5977916
1,,[r2, r3, r4, r5, r1],,[1715, 454263609, 2, 2, 36168],,noPlanSynthesised,,6096292
1,,[r2, r3, r4, r5, r1],,[4699, 93382844, 2, 2, 27887],,noPlanSynthesised,,6620187
1,,[r2, r3, r4, r5, r1],,[1016, 226741741, 1, 1, 40003],,noPlanSynthesised,,6701847
1,,[r2, r3, r4, r5, r1],,[1138, 168702557, 2, 1, 10361],,noPlanSynthesised,,7106238
1,,[r2, r3, r4, r5, r1],,[4784, 260679599, 1, 2, 30826],,noPlanSynthesised,,7194966
1,,[r2, r3, r4, r5, r1],,[1434, 245939881, 2, 2, 18096],,noPlanSynthesised,,8957921
1,,[r2, r3, r4, r5, r1],,[2296, 15210570, 1, 2, 11590],,noPlanSynthesised,,9041913
1,,[r2, r3, r4, r5, r1],,[3269, 186815333, 1, 2, 29397],,noPlanSynthesised,,9751856
1,,[r2, r3, r4, r5, r1],,[1563, 362414371, 1, 1, 13082],,noPlanSynthesised,,9994117
1,,[r2, r3, r4, r5, r1],,[1616, 279013614, 1, 2, 10269],,noPlanSynthesised,,10750496
1,,[r2, r3, r4, r5, r1],,[3540, 349046198, 2, 2, 29724],,noPlanSynthesised,,14882375
1,,[r2, r3, r4, r5, r1],,[829, 9607524, 1, 2, 15778],,noPlanSynthesised,,15848295
