alloc,,robots,,perm,,reason,,time
1,,[r2, r3, r1],,[2579816, 348368606, 3578321],,noPlanSynthesised,,23590
1,,[r2, r3, r1],,[2591690, 446745963, 960431],,noPlanSynthesised,,39788
1,,[r2, r3, r1],,[1177523, 1534049427, 1429967],,noPlanSynthesised,,53438
1,,[r2, r3, r1],,[273030, 399655029, 3357612],,noPlanSynthesised,,68218
1,,[r2, r3, r1],,[3038800, 1769062505, 105704],,noPlanSynthesised,,82759
1,,[r2, r3, r1],,[3618374, 261965589, 1073943],,noPlanSynthesised,,99610
1,,[r2, r3, r1],,[2681248, 966664762, 3293513],,noPlanSynthesised,,118415
1,,[r2, r3, r1],,[3428068, 1606442895, 2270696],,noPlanSynthesised,,133200
1,,[r2, r3, r1],,[2590905, 222833125, 1982798],,noPlanSynthesised,,149027
1,,[r2, r3, r1],,[1051433, 636174130, 406394],,noPlanSynthesised,,163101
1,,[r2, r3, r1],,[3079538, 301355912, 1692389],,noPlanSynthesised,,178537
1,,[r2, r3, r1],,[3074809, 882569980, 909167],,noPlanSynthesised,,192512
1,,[r2, r3, r1],,[151747, 1364963217, 99618],,noPlanSynthesised,,206857
1,,[r2, r3, r1],,[1815936, 1505739670, 334828],,noPlanSynthesised,,221774
1,,[r2, r3, r1],,[3571367, 874808706, 821418],,noPlanSynthesised,,238267
1,,[r2, r3, r1],,[557861, 823838534, 2469605],,noPlanSynthesised,,257599
1,,[r2, r3, r1],,[225160, 1590383975, 2005064],,noPlanSynthesised,,271646
1,,[r2, r3, r1],,[1845235, 488361437, 2245667],,noPlanSynthesised,,285501
1,,[r2, r3, r1],,[2501941, 1228480150, 47482],,noPlanSynthesised,,300448
1,,[r2, r3, r1],,[214765, 457549479, 931264],,noPlanSynthesised,,315298
1,,[r2, r3, r1],,[3526005, 1470470132, 2628410],,noPlanSynthesised,,330739
1,,[r2, r3, r1],,[1217915, 729031788, 583196],,noPlanSynthesised,,345505
1,,[r2, r3, r1],,[142751, 638751117, 704233],,noPlanSynthesised,,360598
1,,[r2, r3, r1],,[901050, 1345487568, 3151303],,noPlanSynthesised,,375819
1,,[r2, r3, r1],,[264161, 1185798379, 502622],,noPlanSynthesised,,389267
1,,[r2, r3, r1],,[1340138, 135730775, 242321],,noPlanSynthesised,,402779
1,,[r2, r3, r1],,[2129638, 1468337719, 2095390],,noPlanSynthesised,,417855
1,,[r2, r3, r1],,[372971, 684869026, 1480594],,noPlanSynthesised,,433030
1,,[r2, r3, r1],,[2219195, 641681360, 3577115],,noPlanSynthesised,,447812
1,,[r2, r3, r1],,[1955410, 596391529, 288392],,noPlanSynthesised,,463187
1,,[r2, r3, r1],,[3097340, 376853672, 1322805],,noPlanSynthesised,,478442
1,,[r2, r3, r1],,[966215, 1707320322, 3214761],,noPlanSynthesised,,492449
1,,[r2, r3, r1],,[2998602, 81316679, 2199568],,noPlanSynthesised,,507132
1,,[r2, r3, r1],,[1792249, 69994311, 842625],,noPlanSynthesised,,520559
1,,[r2, r3, r1],,[290655, 1650689046, 1771212],,noPlanSynthesised,,536236
1,,[r2, r3, r1],,[1320455, 1560041683, 512318],,noPlanSynthesised,,551044
1,,[r2, r3, r1],,[411156, 1250167041, 1266024],,noPlanSynthesised,,567655
1,,[r2, r3, r1],,[1568766, 1062653628, 1597762],,noPlanSynthesised,,582879
1,,[r2, r3, r1],,[2139851, 497161049, 1224354],,noPlanSynthesised,,599217
1,,[r2, r3, r1],,[2713734, 1826967045, 3163793],,noPlanSynthesised,,615079
1,,[r2, r3, r1],,[879593, 68110922, 887634],,noPlanSynthesised,,632332
1,,[r2, r3, r1],,[458132, 1072424472, 867656],,noPlanSynthesised,,647320
1,,[r2, r3, r1],,[505360, 725991686, 1964642],,noPlanSynthesised,,662231
1,,[r2, r3, r1],,[2815118, 854612435, 2621159],,noPlanSynthesised,,678534
1,,[r2, r3, r1],,[2751744, 1642437434, 1194645],,noPlanSynthesised,,694797
1,,[r2, r3, r1],,[989921, 448986554, 2895572],,noPlanSynthesised,,709592
1,,[r2, r3, r1],,[2366987, 298576177, 2424966],,noPlanSynthesised,,724378
1,,[r2, r3, r1],,[1145928, 1540183570, 2038831],,noPlanSynthesised,,739149
1,,[r2, r3, r1],,[851015, 787953224, 285307],,noPlanSynthesised,,752952
1,,[r2, r3, r1],,[3184310, 225595288, 1470392],,noPlanSynthesised,,768561
2,,[r2, r3, r1],,[622939846, 30, 246457287],,noPlanSynthesised,,785122
2,,[r2, r3, r1],,[190412717, 114, 451457985],,noPlanSynthesised,,801780
2,,[r2, r3, r1],,[264982475, 63, 22967431],,noPlanSynthesised,,818108
2,,[r2, r3, r1],,[1843244440, 37, 290955372],,noPlanSynthesised,,834759
2,,[r2, r3, r1],,[1642727052, 32, 411851066],,noPlanSynthesised,,849529
2,,[r2, r3, r1],,[709815349, 78, 436486160],,noPlanSynthesised,,866230
2,,[r2, r3, r1],,[1403002598, 97, 110820727],,noPlanSynthesised,,881998
2,,[r2, r3, r1],,[494640463, 10, 297145896],,noPlanSynthesised,,898036
2,,[r2, r3, r1],,[1287901630, 58, 77720477],,noPlanSynthesised,,913175
2,,[r2, r3, r1],,[1229451822, 91, 136335706],,noPlanSynthesised,,928502
2,,[r2, r3, r1],,[1269942263, 94, 84202708],,noPlanSynthesised,,944544
2,,[r2, r3, r1],,[819165346, 36, 375668768],,noPlanSynthesised,,959089
2,,[r2, r3, r1],,[1634591954, 104, 3291230],,noPlanSynthesised,,974815
2,,[r2, r3, r1],,[6071578, 51, 122922196],,noPlanSynthesised,,990072
2,,[r2, r3, r1],,[1595922948, 15, 403760178],,noPlanSynthesised,,1005910
2,,[r2, r3, r1],,[1328584145, 27, 407253700],,noPlanSynthesised,,1021628
2,,[r2, r3, r1],,[228888084, 44, 66676460],,noPlanSynthesised,,1037548
